,RAD54L,CCNB1,PKMYT1,TEDC2,UHRF1,ZWINT,PBK,KPNA2,HOXC13,E2F8,HSD17B6,SHCBP1,ATAD2,HOXA10,MTBP,CLEC14A,PRKCE,HIST1H2BH,HSPA12B,HOXD11,HECW2,LIMS2,TGFBR2,BCL6B,F12,CCDC150,CHRNA5,HOXD10,PREX2,SLC1A1,LIMCH1,LY6K,KRT75,CNFN,HOXC10,UTRN,C3orf67,TMEM100,SPTSSB,TYMS,TSKU,GPD1L,HBA2,LGALS7,ARHGAP11B,CITED2,PTPRM,KLK6,IGFL1,FAXDC2,PDK4,DES,DAPK2,RECK,MYEOV,CCNE2,ESPN,SLC7A11,PLEKHN1,LRRK2,DSC1,SPRR2G,SPNS2,DSG1,ANGPT1,PAX3,PCDH17,DDAH1,NPW,KCNQ5,SLC6A11,TREM1,FOLR1,LEFTY2,GNA14,TRPV3,TBX18,ENPP4,AKAP12,SYT5,SMC1B,LPCAT1,ULBP2,LILRA2,SERTM1,PRDM16,CTAG2,GOLGA6L7,WNT16,CTCFL,CPNE7,PDIA2,SYNGR3,SELE,ANKRD18A,PAGE2,C15orf48,AIM2,BBOX1,PROK2,CYP1A2,PRTG,TRHDE,AGMO,GREM2,HOXA9,TMC5,PNMA5,CAPN8,ELAVL2,CLDN16,PNLIPRP3,RSPO4,KCNB2,TRIM58,GLYATL3,HS6ST3,SPIC,DEFA5,FGF4,PNMA6E
TCGA-66-2777-01,386,3365,1525,483,953,2886,672,11284,21,495,426,1252,3039,197,262,1170,860,139,308,169,383,766,5635,650,114,22,104,217,171,280,3117,141,204,5208,20,3221,477,167,479,303,11077,1723,486,157,133,4094,837,93,78,377,899,154,444,346,475,188,930,2471,297,5118,171,2053,1047,144,560,1,1345,1575,33,202,21,1725,1621,10,205,264,478,741,1339,7,108,11957,62,188,32,280,1513,122,10,771,212,12,725,161,41,138,615,98,182,27,12,61,77,7,18,52,1905,8,529,3,750,0,86,4,89,3,3,3,0,0,7
TCGA-66-2780-01,548,3466,1481,358,1077,2725,614,5396,612,407,208,1172,3475,532,342,660,791,139,198,44,494,669,6807,623,297,59,73,79,92,272,502,1688,23,96,50,1869,315,202,351,261,7819,797,241,3849,171,1405,954,9,48,578,147,69,320,490,554,246,1636,413,709,310,7,6,512,42,276,7,765,586,55,206,509,2560,146,7,52,101,713,339,1097,32,260,4712,1491,140,1,26,0,2,45,0,231,99,321,24,54,0,982,2063,50,59,0,35,39,102,46,23,729,2,27,0,1015,1,11,2,8,0,0,0,0,0,0
TCGA-66-2781-01,461,3180,1020,514,1194,3833,1450,13661,178,257,410,1345,3075,197,441,575,1014,788,459,323,363,598,19237,369,383,127,334,840,123,75,586,372,428,289,1585,2665,405,254,4028,527,8323,3675,305,1351,349,2593,832,13,130,256,427,115,211,407,432,197,723,3377,187,599,9,2469,600,61,297,4,785,761,36,28,64,2749,64,27,106,89,91,963,1135,21,159,4732,727,363,25,38,1,1345,1256,3,911,39,247,111,171,3096,499,154,420,92,0,60,5,253,40,53,634,304,111,2,7418,2,460,2,7,1,4,4,0,1,3
TCGA-66-2782-01,557,5463,1534,338,1165,3623,654,11170,570,245,185,768,6632,438,976,941,585,166,275,35,437,722,5500,535,876,141,144,44,133,434,748,6357,216,132,1,1941,364,93,189,416,8894,1383,94,1006,323,2521,933,2,7,463,483,66,327,489,2385,636,2047,7693,692,1056,7,0,259,1,368,0,780,1023,176,208,313,1131,233,7,79,71,26,435,814,38,604,3998,562,408,0,56,0,0,215,4,843,10,153,809,68,0,380,1011,63,124,1,33,80,11,11,35,385,7,238,3,153,3,22,2,17,0,0,2,0,0,0
TCGA-66-2783-01,420,3476,747,350,1660,2898,359,14515,110,321,137,721,2327,39,263,585,474,113,92,143,351,562,2028,216,716,26,8,526,108,75,1063,802,189,183,6,2298,155,43,59,564,9585,458,168,138,113,1344,930,5,6,371,173,72,717,340,15,521,839,12977,274,478,248,0,245,12,145,1,398,449,3,139,2,442,266,0,184,54,3,390,473,9,241,1873,231,92,5,99,32,0,0,0,39,4,46,92,24,1,99,539,147,44,0,13,5,4,24,5,1029,1,85,1,69,4,41,13,5,0,3,3,1,0,1
TCGA-66-2785-01,556,2776,1571,686,584,1874,384,7473,187,1419,146,753,2811,246,413,578,247,359,126,16,572,306,2946,380,203,160,63,125,71,194,5291,915,18,479,477,2252,204,42,53,253,4109,2399,181,1555,429,6404,1757,15,25,317,219,48,629,193,92,199,2225,381,386,668,7,0,524,1,467,1,385,201,51,13,447,2046,23148,6,54,18,3,2676,219,3,54,6502,155,159,0,24,876,11,8,0,259,720,261,197,1,967,787,680,272,201,1,9,0,36,1,87,1137,10,168,14,56,1,18,62,8,0,7,0,0,0,0
TCGA-66-2786-01,909,4547,1922,381,1398,5477,1799,7627,171,535,779,1414,5564,525,634,833,931,188,224,9,552,686,7764,410,223,70,52,30,168,616,4074,683,110,119,12,7598,58,424,202,316,8171,2057,129,1189,457,4833,1339,52,356,1238,2712,169,833,473,378,416,704,1455,257,8161,4,1,296,96,524,10,496,2736,23,233,275,1000,2375,17,144,25,11,1059,2257,15,56,16548,8082,325,25,354,9,0,897,2,327,195,58,29,103,0,131,143,30,8,5,101,20,24,85,114,1232,2,1009,8,492,2,66,10,21,0,49,0,0,0,0
TCGA-66-2787-01,482,4133,711,423,1615,1980,1601,21536,249,529,57,1023,3762,150,548,500,322,92,179,10,660,524,3947,355,140,173,93,59,119,73,550,1,5,127,195,5126,182,33,160,385,5754,1020,268,21,231,1171,1350,89,113,419,1234,114,603,683,110,363,212,13657,179,734,19,179,331,25,340,6,691,969,2,70,55,231,44,1,44,15,67,971,737,193,4,2600,228,67,121,160,0,181,16,772,144,20,75,206,35,6,138,805,101,4,0,43,0,1,2,7,31,4,11,8,102,1,23,1,148,0,128,1,0,0,0
TCGA-66-2788-01,507,2915,1053,318,995,2160,1920,10364,43,299,482,917,3960,263,350,964,679,185,257,116,656,967,8932,564,236,55,70,350,234,1241,1237,983,5098,695,18,3178,292,89,383,325,9557,1538,84,2859,267,1539,1276,1067,170,509,315,102,334,734,64,228,1001,1913,651,1058,106,177,681,252,710,15,1419,2443,56,342,29,1646,181,20,260,415,725,1187,2355,253,95,9997,454,190,41,45,49,9,17,1,114,325,167,90,70,6,494,288,696,304,1,37,7,177,50,78,1696,4,45,4,90,4,23,20,18,0,1,5,0,1,1
TCGA-66-2789-01,430,3009,735,667,529,3324,813,13951,934,421,627,559,4784,389,645,1830,1121,235,479,64,414,949,9416,674,158,122,160,221,406,827,2273,205,1197,432,277,4369,329,385,1675,541,7476,2971,561,820,400,4944,1698,3,11,1186,1162,449,491,1436,38,327,569,647,273,5869,130,33,742,23,1346,14,1574,2424,102,297,27,1225,1875,16,136,346,450,791,1630,581,54,22058,2740,198,20,210,1,3,2337,46,55,329,95,102,21,0,609,122,72,22,1,99,48,192,141,52,614,4,398,1,2882,0,49,2,9,9,10,9,0,0,0
TCGA-66-2790-01,670,3858,1849,1183,1190,4932,1412,12573,394,339,412,1124,5394,408,973,597,808,130,518,303,736,994,5760,1102,786,277,258,1087,388,234,2046,196,2504,316,1307,4300,613,173,106,524,3979,1764,538,492,258,3827,1996,737,30,1016,706,1100,340,744,2721,295,1777,759,245,1555,17,4,472,26,1958,391,622,1534,485,252,468,3044,350,8,224,818,115,1565,1984,872,165,11931,785,115,14,930,1,423,65,70,200,118,480,339,141,5,218,1842,340,12,1,80,79,337,234,51,1781,43,98,80,499,2,845,29,333,1,79,1,0,1173,4
TCGA-66-2791-01,344,3630,1289,801,1905,2950,1577,14320,217,576,163,1258,4705,213,898,751,936,165,186,349,372,571,4677,430,565,182,84,854,108,333,1492,886,35,54,100,3582,637,49,89,326,12120,1279,26,22,147,1374,995,331,12,325,195,55,436,841,140,345,301,4361,187,1072,14,16,201,42,900,4,788,759,7,506,631,1302,363,7,97,382,326,724,1047,865,71,3697,324,131,149,1461,1,2,33,12,249,20,379,138,71,0,258,2065,33,3,0,45,1,22,10,15,533,4,196,162,108,4,60,18,5,0,64,2,0,0,148
TCGA-66-2792-01,893,7516,1623,266,2487,2668,2121,30614,127,512,199,1318,7140,247,1084,376,641,106,153,185,1207,1279,4407,316,739,234,111,427,117,1821,3357,135,96,619,571,5111,624,23,43,669,8239,1237,93,318,434,1412,948,15,143,534,252,74,760,680,27,383,352,3830,101,480,15,12,269,156,427,30,700,1778,2,1345,11,574,8,1,52,43,946,383,1194,8,7,4877,284,63,14,29,0,99,5,3,79,6,63,130,144,0,172,49,29,40,0,25,2,13,59,14,134,3,8,25,22,0,2,6,9,0,1,0,0,0,0
TCGA-66-2793-01,1436,2900,1531,2029,1011,2608,1569,14265,338,899,149,648,4182,565,673,311,948,140,160,57,222,124,1564,213,203,325,30,142,96,130,796,121,364,259,602,4738,123,12,341,306,3162,1024,86,27,521,1556,1153,8,23,394,170,13,111,130,12,196,950,140,42,390,28,5,137,41,106,16,415,1237,15,271,429,138,181,39,23,167,2011,1138,448,6,57,2131,1054,15,18,41,0,10,6,1,17,102,29,16,110,0,29,35,50,1,0,18,70,155,5,471,508,1,207,8,49,29,229,7,0,1,29,1,9,0,0
TCGA-66-2794-01,437,2983,1306,520,2425,3014,1813,10916,123,414,141,507,5596,318,866,307,639,265,90,0,210,203,2326,133,798,93,170,17,53,744,317,689,25,142,126,1872,685,64,657,490,4469,2406,109,107,21,1550,400,11,10,146,223,150,357,325,95,302,386,17491,58,761,7,7,388,36,530,1,245,491,94,744,2,119,179,1,57,234,412,370,346,44,555,3009,383,65,1,15,1,0,22,1,707,2,1863,145,292,0,204,1500,25,1,0,5,5,1,13,16,342,7,41,3,1812,0,2,56,16,0,14,1,0,0,2
TCGA-66-2800-01,536,3941,780,418,1007,1679,1190,11451,212,148,411,470,2792,356,411,1069,563,345,218,33,242,694,4679,419,330,91,51,47,170,396,3174,46,11,1444,124,3696,882,98,1787,585,7024,1392,1070,271,129,2992,1223,51,72,493,1103,271,372,902,66,323,397,3832,145,4910,32,893,495,289,1082,27,921,1713,46,134,21,2263,1901,19,110,46,506,3193,978,6,35,11552,610,344,129,225,0,161,22,36,295,19,70,145,154,1048,270,74,55,92,1,35,31,4,136,18,764,14,364,0,58,10,104,53,37,0,66,0,0,0,7
TCGA-68-7755-01,459,4726,2606,451,1925,2944,1526,22884,523,455,167,2323,3946,440,698,775,526,233,334,68,750,977,2797,478,791,169,169,110,154,206,2240,311,30,1432,24,11548,1266,10,117,304,13455,1657,227,27,303,1443,2057,88,4189,134,318,5,704,687,57,336,1583,18480,562,228,17,491,999,439,605,1,2069,695,10,712,709,103,3,2,39,111,1156,549,1214,64,7,3622,1401,29,107,165,0,174,12,1,140,9,36,256,89,1,134,143,23,2,1,33,1,17,140,55,89,2,1,2,78,0,14,70,18,0,371,0,0,2,0
