Unnamed: 0,MIR205HG,LANCL1-AS1,DLX6-AS1,AC112206.2,LINC00491,POU6F2-AS2,ADAMTS9-AS2,HID1-AS1,AC011374.1,ADAMTS9-AS1,NAGPA-AS1,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC00393,LINC02016,AL355388.1,LINC00355,AC026992.2,AC114489.1,SOX2-OT,AC105206.1,AL139385.1,AC078778.1,AL512662.2,LINC00392,AC236972.3,AC003991.1,PTCSC2,AC114812.2,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,AL139041.1,AL138902.1,AC009123.1,LSAMP-AS1,C10orf91,AC130466.1,MED4-AS1,LINC00520,AC093510.2,MIR130B,AC027288.1,AL445531.1,AC112236.1,AC024337.2,AC006238.1,HOTTIP,AL133325.3,AL683887.1,PART1,AC080023.1,LINC00470,BCRP3,AC090772.3,UCA1,AP002856.2,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AL358332.1,AC008663.1,AC012501.1,AC078882.1,AL512785.1,MUC2,LINC00173,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,PTCSC3,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,LINC00518,LINC00184,LINC00211,STEAP2-AS1,WASIR2,AC005722.3,AC097717.1,LINC00504,LINC00261,AC134312.1,STEAP3-AS1,AC006305.1,MIAT,CCDC26,AC020551.1,LINC02404,AL359771.1,AC068985.1,HCG21,AL021395.1,AL591178.1,AL357518.1,RMST,AC004832.1,AC069257.1,AL355303.1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,LIVAR,AC092811.1,NKX2-1-AS1,AL122008.3,LINC00501,TDRG1,LINC01895,CHODL-AS1,AC096536.2,AL596223.1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,LINC02111,ATP13A4-AS1,AL512622.1,CYYR1-AS1,LINC00221,AC011483.1,LINC00443,AC008750.3,AC128709.1,ADARB2-AS1,AC112721.1,AC125603.4,LINC00469,AC006372.1,RRM1-AS1,AC244502.3,AC022762.1,CNTN4-AS1,AL034397.2,TLR8-AS1,KIAA0087,AC069281.1,LINC01805,AL109914.1,LINC00237,AL135787.1,FAM181A-AS1,AC004817.4,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,LINC00939,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,AC105177.1,CLYBL-AS1,LINC00458
TCGA-46-6025-01,21610,5,262,21,239,146,24,2,225,8,6,37,626,1487,29,5,0,8,0,4,109,225,0,119,39,4,2,0,0,3,25,355,94,0,0,2,5,8,16,144,2,2,27,6,16,6,3,7,50,2,2,20,5,545,66,2,8,59,16,0,17,156,232,4,6,61,6,20,108,6,7,5,65,0,24,21,1,108,13,24,0,0,29,24,73,0,9,2,13,10,6,10,0,297,191,65,2,1,45,1,4,0,29,6,259,10,4,90,2,359,27,0,1,0,26,0,1,1,1,1,9,11,7,0,2,1,16,2,1,0,2,1,18,0,35,0,1,0,1,0,0,99,0,2,19,5,24,22,2,10,1,0,9,98,1,0,1,2,0,0,5,9,5,4,24,0,1,0,15,106,1,11,28,2,0,0,0,0,0,109,0,0,0,0,7,0,4,5,33,1,0,22,0,0,2,5,2,1,8,4,0,91,1,5,2,0,0,0,0,8,1,2,0,0,2,0,13,0,0,2,3,0,4,0,1,0,3,0,0,0,0,0,0,0,3,0,0
TCGA-46-6026-01,6222,33,602,15,227,88,37,2,17,16,0,1,2544,855,61,5,0,4,422,14,6,1252,0,66,87,9,1,0,4,140,4,548,18,29,867,10,45,7,295,679,2,11,44,34,16,5,29,0,14,0,1,197,4,15,13,6,6,6,94,0,243,3,0,186,13,150,6,77,18,30,320,45,210,0,8,88,59,63,35,1,4,8,1,53,48,2,14,15,8,13,217,4,4,95,4,64,1,136,8,0,2,0,0,6,61,34,3,16,27,19830,9,0,0,0,3,0,13,1,0,0,79,22,5,0,7,6,235,12,1,9,0,2,1,0,1,10,1,0,357,0,405,49759,3,8,1,71,6,0,5,3,19,2,6,4,1,7,0,9,0,2,72,0,4,2,9,0,45,1,1,62,2,1,3,1,1,2,0,17,1,0,0,0,2,46,2,2,0,27,0,0,0,12,2,53,9,1,4,1,3,2,25,64,0,0,0,0,0,8,0,0,11,4,6,33,4,0,4,1,2,1,0,0,0,9,0,0,2,1,3,3,2,0,0,0,0,1,1
TCGA-51-4079-01,3205,10,239,6,103,99,8,1,690,11,8,60,296,523,204,6,1,0,49,0,31,861,0,79,10,8,1,7,3,58,19,397,17,0,0,1,6,12,6,24,5,0,80,4,3,2,11,7,2,8,1,0,4,79,20,47,1,42,15,0,5,140,1,0,8,73,2,1,12,2,13,2,17,0,1,10,2,37,1,2,15,5,56,22,25,1,13,1,0,8,16,10,60,144,0,8,0,1,21,0,1,1,95,1,60,143,2,2,8,170,27,0,0,0,20,1,5,0,0,0,0,0,8,0,0,3,10,0,0,0,0,2,7,0,6,0,0,2,1,0,0,247,2,0,10,0,43,9,1,0,4,2,0,4,1,1,0,1,0,0,2,0,32,3,2,0,2,1,0,6,1,1,6,2,6,2,1,5,0,120,0,0,0,6,0,1,1,3,4,4,0,3,0,4,2,1,1,0,0,1,6,13,0,1,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,1
TCGA-51-4080-01,1849,17,847,13,487,65,4,3,343,7,1,59,1096,1479,49,14,1,0,146,3,37,1867,0,28,20,0,0,0,0,292,30,442,39,1,83,4,18,37,41,67,0,1,686,5,21,1,3,37,7,9,9,33,9,97,101,0,0,24,303,2,15,5,0,4,14,128,0,2,18,47,11,13,25,0,1,2,1,65,6,10,110,16,235,3,161,1,6,2,1,4,16,13,35,268,0,0,0,3,3,1,6,6,6,5,37,3,1,6,11,597,8,14,5,78,11,0,198,0,0,1,0,13,1,0,1,21,0,2,0,1,3,0,0,0,1,0,0,22,3,0,6,1350,0,0,6,0,12,40,2,0,13,1,4,0,1,1,3,0,0,0,1,6,5,3,15,0,5,1,7,11,1,1,23,1,0,0,1,7,0,3,1,1,7,8,16,29,6,0,15,0,0,0,2,0,9,1,1,0,1,0,0,77,2,1,0,1,0,0,0,0,0,0,0,28,1,1,0,0,0,0,0,0,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0
TCGA-51-4081-01,1563,15,754,2,112,205,21,3,291,6,1,53,1022,902,87,6,0,3,8,10,21,891,0,137,55,1,1,1,1,275,10,486,8,0,46,2,3,18,14,107,2,2,154,1,16,2,18,18,5,1,10,30,6,78,37,61,5,129,331,0,7,6,2,75,12,180,0,11,2,15,95,2,14,0,0,38,2,23,17,21,25,9,81,16,212,2,9,2,14,3,2,9,0,478,9,2,1,0,9,1,3,19,152,4,21,2,6,16,1,3361,7,9,1,10,1,0,4,0,0,0,6,21,8,0,14,7,0,1,0,1,0,1,11,0,1,0,0,5,4,0,0,2481,0,1,4,2,15,10,1,0,10,2,13,2,0,1,3,0,0,0,6,7,0,13,37,0,9,0,6,18,3,4,28,0,2,4,7,0,0,3,0,1,10,7,10,4,14,3,6,4,1,0,1,4,13,0,1,2,4,5,0,7,0,0,0,0,0,0,1,0,0,0,0,0,3,9,2,5,0,1,0,0,2,0,0,0,2,1,0,6,20,0,0,0,2,0,2
TCGA-51-6867-01,3730,14,637,5,183,48,26,9,87,9,1,16,1449,644,94,42,0,0,171,72,21,2453,0,25,26,4,1749,0,3,7,10,672,23,0,22,1,9,40,131,201,2,1,14,6,14,13,5,2,8,4,15,14,2,212,24,219,2,23,224,1,16,2,3,3,3,1068,2,53,62,15,23,1,97,1,4,36,7,163,3,0,2,22,1,6,99,9,3,5,19,13,1,2,40,282,62,239,0,1,37,1,5,12,21,1,200,27,1,19,6,313,2,60,0,32,0,0,0,0,0,0,9,30,4,0,4,5,14,0,0,3,2,0,4,0,4,0,0,0,3,0,1,432,0,1,2,1,14,13,2,2,0,1,6,3,2,0,2,2,1,0,5,4,5,7,61,291,3,0,5,53,22,7,5,4,42,1,4,0,0,4,1,0,1,0,9,2,5,1,1,1,0,2,1,7,1,1,0,0,17,1,13,0,1,1,3,1,2,1,0,4,6,1,0,7,0,0,9,1,0,3,2,0,2,0,0,3,2,0,0,2,0,1,0,0,2,0,23
TCGA-52-7622-01,6881,72,497,50,185,119,40,7,177,86,21,50,888,2841,810,8,17,10,0,25,21,12280,4,108,37,59,0,14,34,86,35,759,9,2,5,13,12,2,12,40,11,6,99,8,4,24,18,22,8,9,0,2,34,149,48,130,6,60,237,39,10,239,0,17,22,219,10,2,21,28,90,256,386,7,0,15,0,42,3,21,7,19,52,17,121,1,13,2,2,5,52,13,1,435,19,7,0,0,14,2,3,1,105,7,68,400,9,40,2,7719,31,5,4,1,3,1,1,11,2,4,10,21,12,0,4,0,16,4,0,0,0,1,24,1,10,2,0,1,13,0,1,570,0,9,14,27,101,18,2,1,3,0,11,11,0,0,3,0,2,0,7,6,233,15,58,0,6,0,13,17,5,5,14,3,2,0,4,0,1,87,4,0,0,1,6,0,11,7,0,1,2,2,0,15,3,1,0,4,2,1,1,4,2,1,0,0,2,0,3,1,0,4,1,0,0,0,0,1,0,0,0,3,2,0,3,0,1,3,0,0,2,0,0,0,54,0,0
TCGA-52-7810-01,13838,2,63,9,0,4,5,1,80,5,1,44,617,1425,17,5,0,0,2,0,23,92,0,153,6,3,1,0,1,4,1,148,12,0,21,2,2,11,33,126,0,6,13,2,22,2,2,3,6,2,2,2,17,15,1,145,0,2,19,0,8,49,24,19,4,78,0,3,5,41,20,0,28,2,2,97,0,23,4,6,1,0,1,9,28,4,2,2,2,8,9,0,0,18,15,1,0,13,4,4,0,0,0,0,984,7,0,44,4,271,29,10,0,0,0,0,0,0,0,0,0,1,1,0,26,0,6,0,0,5,0,1,68,0,0,0,0,2,1,0,10,264,0,0,4,16,0,15,2,1,0,0,4,7,0,1,2,0,0,6,1,2,1,0,18,0,1,0,0,4,4,4,2,0,2,2,2,1,2,23,0,0,0,1,0,0,0,4,0,3,1,1,1,2,34,5,5,1,1,7,0,0,6,3,0,24,0,1,0,0,0,7,0,5,0,2,0,0,0,1,16,0,0,0,0,0,1,0,1,15,0,0,1,0,0,0,0
TCGA-52-7811-01,1525,17,57,21,206,83,28,19,249,44,10,27,87,788,386,6,2,0,166,9,20,110,0,133,13,17,1,2,10,14,7,683,88,1,4,8,5,8,9,79,6,1,57,2,7,9,7,10,12,3,2,1,4,177,9,120,1,26,63,3,19,53,105,2,16,90,3,5,15,4,10,8,52,2,15,11,1,22,7,13,2,5,2,1,23,0,1,2,1,3,4,7,5,139,21,68,3,1,8,0,1,3,62,4,153,191,10,14,1,186,13,0,0,31,2,0,0,1,7,6,17,6,4,0,0,0,2,0,0,1,1,0,22,2,6,2,0,2,55,0,0,592,1,0,44,4,71,1,1,0,0,0,1,9,2,1,3,1,0,1,3,2,48,5,4,0,3,0,1,6,0,1,2,30,1,10,2,1,2,9,0,0,0,2,1,3,2,7,2,2,0,0,0,3,0,4,2,0,0,14,1,3,1,2,0,1,0,2,0,0,0,0,1,3,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0
TCGA-52-7812-01,34,5,2,35,86,2,6,2,0,13,3,0,2,1267,213,0,1,2,1,5,11,43,0,7,32,5,1,1,2,0,0,230,48,0,0,16,3,1,0,15,2,2,1,0,4,5,0,0,1,28,4,2,0,10,2,0,3,2,25,8,16,1,2,1,0,27,1,8,10,2,2,2,77,4,1,3,6,15,2,0,0,2,2,1,22,0,0,3,5,0,4,15,0,8,1,1,0,0,3,5,16,49,0,11,1,69,0,15,0,862,2,0,1,0,0,1,0,0,0,1,0,3,2,0,13,0,0,0,1,3,5,0,1485,0,59,0,0,15,0,0,0,47,7,0,0,2,897,0,3,0,0,2,0,1,0,0,1,3,0,0,2,6,21,0,1,0,0,0,0,3,0,1,2,6,0,0,3,0,2,0,0,0,0,1,1,0,3,0,0,1,0,1,1,1,2,1,0,1,0,7,0,0,0,0,0,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,181,0,0,0,0,0,14,0,0,0,0,0,0
