Unnamed: 0,CCNB1,ZWINT,PBK,GRHL3,CERS3,NEIL3,KPNA2,HOXC13,USH1G,ATAD2,HOXA10,PRKCE,INMT,CLIC5,HECW2,BTBD11,TGFBR2,CACNA2D2,NKX1-2,CABYR,ADAMTS8,VEGFD,PREX2,PHACTR1,SLC6A4,SLC1A1,FOXF1,LIMCH1,ABCA8,UTRN,SCN7A,TMEM100,CLDN18,TSKU,GPD1L,CITED2,PTPRM,RECK,ADH1B,SLC7A11,OGN,SLIT3,LRRK2,DSC1,STXBP5L,OGDHL,NR0B1,KPRP,PAX3,DDAH1,KCNQ5,SALL1,SLC6A11,PEBP4,LEFTY2,LRP8,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,DIRAS2,CRTAC1,JAKMIP3,CBR3,SERTM1,PRDM16,SLC47A2,SHISA9,CAPN3,NECAB2,FRRS1L,RUNDC3A,F2RL2,POPDC3,CHP2,PTPRN2,LRP1B,IGSF10,SELE,ABCC2,SLC38A11,SYNDIG1,ABCA4,PROK2,GREM2,HOXA9,SYT2,AGTR2,NTRK3,CHGA,ELAVL2,FLG,CCNA1,PRB4,CLDN8,CCDC190,DEFA5,OBP2B
TCGA-66-2782-01,5463,3623,654,666,1482,444,11170,570,314,6632,438,585,527,149,437,976,5500,128,188,128,29,21,133,229,7,434,257,748,152,1941,348,93,185,8894,1383,2521,933,489,202,7693,88,589,1056,7,3,76,24,0,0,1023,208,2,313,49,7,1193,26,435,814,3998,562,2,415,25,114,0,56,18,3,245,12,1,53,52,6,158,254,0,938,809,150,15,279,30,124,11,35,36,29,30,2,3,17,113,1,1184,2426,0,1
TCGA-66-2783-01,3476,2898,359,3539,1807,485,14515,110,34,2327,39,474,198,115,351,626,2028,86,105,1027,49,13,108,172,4,75,217,1063,125,2298,69,43,26,9585,458,1344,930,340,475,12977,54,315,478,248,89,469,225,5164,1,449,139,0,2,48,0,2727,3,390,473,1873,231,555,195,211,862,5,99,156,93,30,56,1,10,1768,1,340,294,4,200,92,4965,21,32,243,44,24,5,40,8,36,15,1,278,73,0,8017,148,1,0
TCGA-66-2785-01,2776,1874,384,263,78,205,7473,187,6,2811,246,247,133,444,572,61,2946,137,54,356,23,6,71,183,4,194,200,5291,29,2252,103,42,88,4109,2399,6404,1757,193,105,381,18,202,668,7,0,23,6,9,1,201,13,0,447,150,6,1530,3,2676,219,6502,155,3,95,10,318,0,24,11,96,203,2,1,18,14,180,78,204,3,186,197,44,9,112,106,201,1,87,33,24,18,51,14,2,63,0,5,1,0,5
TCGA-66-2786-01,4547,5477,1799,154,2000,651,7627,171,217,5564,525,931,1140,1189,552,273,7764,2084,142,396,119,164,168,428,61,616,274,4074,443,7598,1311,424,4336,8171,2057,4833,1339,473,3124,1455,130,955,8161,4,4,86,36,0,10,2736,233,476,275,1529,17,2001,11,1059,2257,16548,8082,16,2599,37,101,25,354,16,2,289,9,5,55,76,109,1655,404,13,329,29,119,18,114,46,8,85,114,166,914,67,18,8,63,278,1,96,34,0,1
TCGA-66-2787-01,4133,1980,1601,1812,144,379,21536,249,310,3762,150,322,259,286,660,3067,3947,239,6,3909,8,102,119,510,19,73,261,550,131,5126,287,33,425,5754,1020,1171,1350,683,589,13657,109,627,734,19,1511,317,2007,5,6,969,70,14,55,30,1,3075,67,971,737,2600,228,1078,76,484,1156,121,160,101,530,109,54,1439,234,6812,1217,64,119,194,213,206,98,9563,234,915,4,2,7,98,5,28,679,8,30,1198,2,3261,188,0,1
TCGA-66-2788-01,2915,2160,1920,2022,1723,294,10364,43,453,3960,263,679,230,269,656,2327,8932,88,377,113,49,33,234,427,30,1241,285,1237,182,3178,188,89,43,9557,1538,1539,1276,734,638,1913,86,911,1058,106,7,338,12,132,15,2443,342,13,29,44,20,1494,725,1187,2355,9997,454,25,142,62,65,41,45,96,18,84,23,49,46,207,194,202,304,36,311,90,71,14,450,905,304,50,78,47,1,87,68,4,43,780,0,79,536,0,0
TCGA-66-2789-01,3009,3324,813,2772,3694,239,13951,934,188,4784,389,1121,1187,1096,414,637,9416,1595,82,170,143,373,406,294,24,827,440,2273,353,4369,782,385,3058,7476,2971,4944,1698,1436,2501,647,392,1516,5869,130,6,32,3,10,14,2424,297,123,27,1273,16,989,450,791,1630,22058,2740,115,2730,51,143,20,210,23,1,197,21,521,56,162,34,20,321,0,1043,102,76,40,265,106,22,141,52,127,1679,118,72,1,25,21,1,50,50,0,0
TCGA-66-2790-01,3858,4932,1412,100,1311,791,12573,394,663,5394,408,808,684,531,736,1892,5760,1132,131,591,335,90,388,366,11,234,798,2046,783,4300,315,173,652,3979,1764,3827,1996,744,757,759,214,2115,1555,17,48,1026,187,136,391,1534,252,871,468,136,8,525,115,1565,1984,11931,785,19,1236,400,86,14,930,59,13,65,49,1333,282,1105,344,731,1466,176,442,339,50,117,345,163,12,234,51,167,113,102,94,80,28,196,501,71,179,0,1
TCGA-66-2791-01,3630,2950,1577,1620,1717,447,14320,217,683,4705,213,936,328,382,372,3038,4677,148,67,1099,31,44,108,688,12,333,416,1492,133,3582,343,49,88,12120,1279,1374,995,841,344,4361,82,577,1072,14,722,152,693,8,4,759,506,138,631,52,7,3304,326,724,1047,3697,324,839,676,979,714,149,1461,65,1777,88,498,1221,169,6363,346,333,597,68,1350,138,5900,1506,593,4235,3,10,15,428,13,41,320,162,68,531,1,2174,537,0,1
TCGA-66-2792-01,7516,2668,2121,2584,1980,546,30614,127,618,7140,247,641,232,116,1207,151,4407,145,106,207,60,28,117,146,107,1821,62,3357,155,5111,59,23,11,8239,1237,1412,948,680,450,3830,250,596,480,15,3,57,2,3,30,1778,1345,10,11,2,1,848,946,383,1194,4877,284,439,55,106,82,14,29,133,4,31,99,1237,29,58,151,2,89,32,250,130,27,8,157,78,40,59,14,68,2,19,19,25,23,281,0,6,36,0,0
