Unnamed: 0,hsa-mir-210,hsa-mir-944,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-6499,hsa-mir-139,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-628,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-39-5031-01,4229,124,7191,48981,67,30,6,58,209,25,57484,1787,19,2,182,0,12,1,0,2,0
TCGA-39-5034-01,2074,1,156,20471,37,37,0,32,123,12,29887,124,22,0,220,0,0,0,0,0,0
TCGA-39-5035-01,1638,82,13685,50281,178,2093,1,56,287,3,144279,525,21,0,151,0,0,0,0,0,0
TCGA-39-5036-01,4913,728,13857,24268,36,63,9,34,165,15,37157,637,4,0,123,6,0,0,1,1,0
TCGA-39-5037-01,4249,730,41355,17025,72,5,2,19,591,40,21368,566,7,0,69,1,1,0,1,0,0
TCGA-39-5039-01,1985,47,11962,10658,17,141,2,54,61,3,19070,901,4,5,70,0,0,0,0,0,0
TCGA-43-2576-01,4017,3,784,35827,68,45,0,99,207,3,63634,482,23,11,180,2,0,30,0,0,24
TCGA-43-2578-01,5294,26,8513,218260,204,284,1,103,249,66,165140,1680,31,4,175,0,0,0,0,3,1
TCGA-43-2581-01,1418,2,55,39627,62,53,0,24,217,15,56271,790,28,4,130,0,0,11,1,2,0
TCGA-43-3394-01,37097,910,30854,90247,465,25,13,177,169,14,150798,1378,57,7,214,0,2,0,0,0,2
TCGA-43-3920-01,6303,77,12649,13884,33,73,4,16,106,11,19203,146,40,18,147,0,0,0,0,0,0
TCGA-43-5668-01,3510,5,214,22626,75,2,0,30,158,19,50156,35096,87,43,110,0,0,3,0,0,1
TCGA-43-6143-01,7262,443,88930,118923,109,330,114,73,1394,33,157348,332,44,0,106,0,68,0,0,0,0
TCGA-43-6647-01,1513,245,48379,104969,53,12,20,236,174,8,123556,780,12,12,70,0,0,1,0,0,0
TCGA-43-6770-01,3107,1449,46480,96790,31,8,11,53,186,19,95938,209,11,2,22,1,141,0,0,0,0
TCGA-43-6771-01,5126,364,115854,14794,15,1,11,92,251,1,31828,361,22,3,21,1,0,2,0,0,0
TCGA-43-7656-01,4592,382,42031,27967,98,29,2,93,153,13,50629,528,25,3,59,0,0,0,0,0,0
TCGA-43-7658-01,13156,0,1030,16194,103,49,2,38,644,17,40341,1841,8,1,23,0,0,0,1,0,0
TCGA-43-8115-01,8948,555,25055,76310,194,77,5,137,1903,48,121432,1348,105,10,85,1902,1,0,0,0,0
TCGA-43-8116-01,6838,507,87966,37762,110,21,18,110,144,15,61822,1013,19,4,42,1,3,0,1,0,0
TCGA-43-8118-01,16151,700,24106,23337,39,11,1,292,205,15,30242,3935,22,1,19,0,0,0,1,1,0
TCGA-43-A474-01,14281,937,110623,108217,226,429,30,40,599,36,180922,2392,32,28,25,0,0,0,0,0,0
TCGA-43-A475-01,3868,320,64395,12044,50,47,16,145,1088,11,28953,2249,47,0,47,0,2,0,7,0,0
TCGA-43-A56U-01,8701,390,24032,41788,162,69,35,337,1626,24,90930,2689,21,54,97,2,0,1,1,0,1
TCGA-46-3765-01,7770,424,7423,6802,15,5,2,35,64,20,8573,130,16,0,262,0,0,0,0,0,0
TCGA-46-3766-01,2844,34,3976,6379,12,50,0,79,42,0,11847,374,23,2,104,0,0,1,0,0,0
TCGA-46-3767-01,1585,42,4006,8856,8,11,1,61,54,1,20541,300,10,1,100,0,0,0,0,0,0
TCGA-46-3768-01,4191,404,11437,71403,136,5,0,41,103,13,67823,308,47,0,175,0,2,0,0,0,0
TCGA-46-3769-01,821,6,2845,6419,59,237,0,59,98,5,13683,336,67,25,59,0,0,1,0,0,1
TCGA-46-6025-01,3049,1684,53736,36102,58,546,17,35,179,8,52563,347,8,29,22,0,4,1,0,0,0
TCGA-46-6026-01,5355,861,94627,93889,154,15,5,130,279,9,248493,212,8,0,46,1,0,2,4,1,0
TCGA-51-4079-01,6881,752,16111,27714,54,129,2,17,245,3,56319,567,9,0,80,0,0,0,1,0,0
TCGA-51-4080-01,3225,694,29208,149817,205,45,44,17,703,28,203743,637,14,0,56,0,20,0,5,1,0
TCGA-51-4081-01,3585,143,13559,44542,59,8,4,9,113,8,61321,264,9,0,26,0,1,0,0,1,0
TCGA-51-6867-01,16103,363,142236,65386,134,35,23,108,1477,39,83115,2939,16,3,19,1,12,0,0,0,0
TCGA-52-7622-01,7717,882,42815,47117,109,344,14,260,818,9,69607,5481,11,0,59,0,2,0,1,0,0
TCGA-52-7810-01,11287,1353,252127,73578,127,130,52,54,1140,57,87156,1212,57,13,19,1,0,1,0,0,1
