Unnamed: 0,MIR205HG,DLX6-AS1,LINC00491,POU6F2-AS2,ADAMTS9-AS2,LINC02428,AC010595.1,AC011374.1,AC116049.2,AC069277.1,AC106799.2,ADAMTS9-AS1,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC01096,AL354993.2,LINC00393,AL355388.1,LINC00355,SOX2-OT,AC105206.1,AL139385.1,AC106799.1,AC078778.1,LINC00392,FRMD6-AS1,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,LSAMP-AS1,C10orf91,AL354993.1,AC090568.2,MED4-AS1,LINC00520,AC093510.2,MIR130B,AL359504.2,AC007785.1,AC006238.1,HOTTIP,LINC02377,PART1,AC107419.1,LINC00470,BCRP3,UCA1,AC090912.1,LINC00337,MIR31HG,MIR137HG,AC010343.3,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,LINC00536,AC024230.1,C1orf132,LINC02438,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AC023310.4,MUC2,LINC00173,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,AL355607.2,LINC00518,LINC00184,LINC00211,STEAP2-AS1,AC008083.1,AC022079.1,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC108174.1,AC006305.1,MIAT,CCDC26,AL021807.1,AL137785.1,HCG21,AL021395.1,AL357518.1,LINC01979,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,FAM230C,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,AC004704.1,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,LINC01193,AC080129.1,KCNQ5-AS1,LINC01608,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,AC122710.1,AL353746.1,AC091946.1,LINC00469,AC006372.1,RRM1-AS1,LINC01511,AC022762.1,LINC01087,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,AC120193.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AC090774.4,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AC092447.5,AL033381.1,AC012050.1,AC016710.1,GPR1-AS,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-39-5031-01,2342,342,235,140,29,45,28,141,44,133,79,26,1,1440,600,427,50,6,20,1,257,1891,1,25,53,26,31,85,661,9,5,60,68,88,9,16,2,39,1,38,64,5,11,20,2,574,54,307,2,12,62,25,31,3,24,13,47,111,1,49,7,10,80,1,55,105,25,3,6,27,6,108,3,126,30,1,8,7,14,2,2,16,255,23,2,0,0,0,3,2,2,1,6,94,0,85,97,8,4,6,354,11,26,69,0,45,0,5,0,23,0,7,42,11,25,1,2,19,0,1,7,0,70,4,1,7,128,1,1,0,150,0,0,4,33,1,12,0,2,3,0,1,0,365,0,3,223,215,19,1,5,281,13,4,8,12,0,1,13,3,45,2,6,0,3,0,7,6,78,6,0,4,0,1,6,12,4,0,1,9,1,0,6,5,0,13,0,1,52,0,0,0,0,4,9,0,0,5,0,0,0,3,0,1,0,0,1,2,0,0,0,18,0,57,3,0,0,0,0,0
TCGA-39-5034-01,27,44,1,165,5,0,3,4,0,0,6,20,7,79,918,135,2,7,0,1,0,25,0,8,1,11,0,9,392,0,0,58,17,26,0,0,0,3,10,2,61,1,2,0,0,41,2,1,7,1,12,29,36,2,1,2,3,11,1,13,16,0,3,0,7,17,3,1,0,4,0,5,0,3,17,0,4,1,3,0,0,29,10,5,1,0,1,13,0,1,0,3,0,18,1,31,68,3,0,1,91,9,5,8,0,0,0,14,1,4,0,0,0,3,16,1,0,1,8,12,11,0,2,0,0,10,1,1,1,1,347,0,0,4,265,2,5,0,0,1,0,2,1,0,0,0,1,0,0,37,1,1,21,0,1,2,0,1,0,0,41,0,0,0,0,0,0,0,0,2,0,0,0,0,15,0,2,0,1,3,0,0,0,0,5,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,4,0,0,1,0,0,1,9,0,0,0,2,1,1,0,0,0,0,1
TCGA-39-5035-01,7612,0,468,2,6,0,0,21,0,0,81,3,1,15,997,52,5,4,2,1,1,35,0,23,6,16,0,1,180,1,0,854,0,17,2,2,0,8,2,0,2,8,0,2,0,3,1,0,1,37,4,5,1424,0,2,2,0,16,2,87,0,0,1,3,0,220,0,1,2,3,0,8,0,3,22,0,5,0,3,0,4,0,17,30,1,0,0,0,9,1,11,2,0,2,2,6,9,69,1,2,413,6,85,0,1,5,0,8,0,6,0,1,0,19,0,0,0,0,0,0,21,0,15,1,0,0,38,0,0,0,49,0,1,4,3,3,1,0,0,0,0,2,1,0,0,4,0,5,1,3,0,1,4,2,2,0,3,0,0,0,3,0,0,0,1,0,0,0,0,4,0,0,0,0,7,0,0,0,1,1,4,9,1,0,0,0,0,0,0,0,1,0,3,4,0,0,855,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
TCGA-39-5036-01,2132,361,199,85,23,194,39,285,55,68,34,6,40,230,518,205,7,20,2,0,150,380,0,101,9,6,0,163,61,7,1,4,22,46,46,3,0,196,0,43,22,2,2,3,276,523,16,127,1,697,31,38,54,1,40,11,3,6,0,0,17,6,5,11,76,16,26,2,1,9,18,35,0,4,26,2,12,2,8,7,12,98,157,45,119,0,4,2,17,0,0,3,22,1,6,235,96,40,0,1,61,6,14,4,0,6,0,1,0,1,0,1,2,1,6,0,0,2,0,0,4,0,9,0,0,7,12,0,1,7,17084,1,1,24,16,6,0,3,1,0,1,3,0,762,0,0,150,11,66,2,0,64,1,0,5,1,2,0,3,0,28,12,5,0,0,0,5,2,5,3,0,0,2,0,6,1,2,0,0,1,0,0,0,0,0,0,0,4,3,0,3,0,1,0,8,0,7,0,0,0,3,0,3,1,0,25,0,0,0,0,0,0,0,0,1,0,5,0,0,1
TCGA-39-5037-01,5157,289,55,515,5,354,47,375,21,25,35,4,32,924,1007,167,16,17,149,3,56,8400,0,92,12,88,8,118,78,37,5,41,164,114,14,28,0,97,7,19,49,35,6,37,1,168,6,107,1,5,58,75,0,1,139,92,647,156,0,6,47,42,3,10,17,33,7,2,6,19,10,79,7,3,82,171,31,0,9,24,48,12,65,4,7,0,0,1,3,0,5,15,71,30,0,177,44,49,5,2,1783,232,29,16,0,4,0,14,0,5,0,10,35,62,0,0,0,2,0,3,53,1,2,1,0,7,4,1,0,14,15,0,0,13,14,2,1,0,0,2,2,7,0,0,1,0,0,40,0,2,4,96,24,0,0,1,8,0,1,3,1,6,0,0,0,0,7,0,7,2,0,0,5,0,7,3,13,3,3,1,0,4,0,0,0,2,0,1,0,6,1,0,2,0,2,0,0,1,0,0,0,0,0,0,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0
TCGA-39-5039-01,1345,14,105,164,19,38,42,24,14,21,67,34,2,172,294,426,0,11,5,0,82,8,0,40,6,0,1,36,498,27,0,10,30,45,20,31,1,49,1,4,3,3,6,2,100,39,40,78,4,18,25,29,145,42,6,2,0,44,7,1,2,0,16,0,6,14,6,1,0,3,0,6,0,7,7,0,1,0,2,1,7,20,18,11,15,0,0,0,1,3,3,13,1,3,0,297,282,24,4,0,60,5,4,25,0,0,0,1,1,6,0,0,0,12,0,3,0,1,1,2,46,0,27,0,2,0,18,0,0,0,689,1,0,4,62,0,0,0,0,0,3,0,0,1,0,0,1,41,0,0,3,1,0,0,0,34,0,11,0,0,0,0,0,0,1,0,3,6,0,3,6,0,7,0,2,1,0,0,1,0,2,1,0,0,0,2,0,2,0,0,2,0,0,0,1,3,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
TCGA-43-2576-01,86,91,1,57,9,9,2,1,1,16,1,25,0,171,401,820,6,4,52,0,41,11,0,131,0,9,0,12,494,1,0,91,5,10,13,6,2,11,3,2,11,2,3,0,27,1,2,125,1,11,3,33,20,15,2,2,1,30,2,0,16,0,0,10,16,49,7,2,0,10,1,12,1,5,5,27,0,2,7,0,1,0,0,4,175,1,0,38,3,0,6,51,1,25,1,11,0,2,0,0,403,5,51,2,2,0,0,6,0,0,0,4,0,1,61,1,0,1,0,0,843,1,24,1,2,3,0,5,0,1,816,1,1,0,242,18,0,0,0,5,0,0,3,0,18,0,45,0,230,0,3,3,0,7,57,0,0,1,0,1,0,0,0,0,8,0,0,0,0,0,9,0,11,0,1,1,0,0,2,0,0,1,0,1,0,3,1,0,1,2,4,0,0,0,0,0,1,0,2,0,0,0,0,0,0,11,1,26,66,1,1,0,10,0,0,0,0,0,0,0
TCGA-43-2578-01,1499,288,61,14,20,6,5,5,0,697,2,16,1,639,1206,331,1,19,115,5,35,458,5,82,0,62,0,78,303,2,0,61,40,325,22,13,3,1,7,34,144,4,4,23,5,99,4,167,7,111,39,34,341,9,3,3,0,93,9,1823,94,1,6,130,7,185,13,8,0,24,1,7,0,4,25,0,2,6,23,0,10,9,165,4,96,0,0,8,4,2,7,0,70,41,25,27,2103,6,0,1,2466,22,288,1,1,0,2,22,15,45,0,25,1,8,1,6,0,20,4,0,4,0,33,6,1,1,217,0,0,0,160,0,3,182,78,2,2,0,0,1,6,0,0,0,0,6,94,25,1,1,0,31,0,2,3,1,0,12,5,0,0,0,0,0,18,5,4,0,0,16,1,3,1,2,0,54,0,0,1,1,0,126,36,0,9,6,1,0,0,0,0,0,0,13,0,0,0,0,0,2,0,8,19,6,0,4,0,0,2,6,1,0,0,0,0,1,0,0,0,9
TCGA-43-2581-01,3,3,0,1,11,0,0,4,6,1,0,17,1,5,869,1038,8,1,0,0,0,17,1,24,0,6,0,0,343,2,0,0,0,10,1,1,0,2,0,12,12,0,28,1,0,0,0,0,14,0,12,14,17,12,1,0,0,13,2,2,3,0,2,0,0,239,0,2,0,2,2,9,0,0,13,1,0,0,3,1,0,0,62,89,1,0,1,0,1,5,3,3,11,84,4,6,13,10,0,0,331,9,100,2,0,0,0,0,1,4,0,2,0,0,0,2,0,6,1,0,17,0,0,0,0,7,4,2,0,0,34,0,1,0,799,1,0,0,0,0,0,9,5,0,0,0,1,326,1,0,0,1,0,6,0,0,0,1,0,1,7,0,1,0,1,0,0,2,0,1,1,0,0,2,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0
TCGA-43-3394-01,2966,714,166,256,28,152,29,369,14,50,50,4,27,672,856,287,62,10,29,2,328,3432,0,97,18,55,3,268,612,131,0,60,46,244,10,44,5,87,0,24,32,5,11,96,1,140,35,249,2,9,58,144,23,7,169,212,10,240,4,53,150,10,7,8,9,83,20,7,0,24,13,336,6,4,146,76,24,11,11,6,11,14,126,17,65,0,4,5,11,2,8,6,96,11,1,101,175,54,3,3,1678,11,8,3,0,20,1,8,0,9,0,9,6,45,1,5,0,2,0,0,17,0,4,0,1,29,37,7,0,0,481,1,1,0,43,11,2,0,0,2,5,26,2,1,0,2,2,11,2,4,2,50,72,2,0,1,4,1,31,2,5,2,0,0,0,2,3,2,34,6,0,0,2,0,86,1,4,0,1,4,0,7,0,0,0,0,3,0,0,1,0,5,8,3,2,4,1,2,1,1,0,2,6,0,5,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0
TCGA-43-3920-01,8092,443,197,594,50,107,111,96,65,229,96,57,3,689,1291,116,30,47,11,0,179,416,0,25,24,39,279,107,1772,5,0,0,15,47,94,9,0,22,0,13,222,3,4,19,44,67,56,405,1,1,78,16,152,369,47,4,19,134,0,66,12,5,64,5,212,24,56,2,0,8,2,66,85,3,77,7,3,15,20,4,1,69,67,81,77,0,73,5,5,9,28,0,68,23,8,3,2,6,31,1,307,11,29,15,0,2,0,0,0,2,0,7,1,4,44,2,0,6,0,2,32,1,68,0,0,1,5,5,0,0,5929,0,0,0,0,2,1,1,6,0,0,0,0,988,2,4,3,6,3,2,0,18,2,21,0,1,0,0,0,2,604,0,38,0,3,5,1,4,5,5,1,7,1,0,3,2,0,0,3,8,1,6,1,13,0,5,0,0,1,0,0,2,0,1,0,0,1,61,0,0,0,1,0,0,1,0,35,0,0,0,0,8,0,0,1,6,2,0,0,0
TCGA-43-5668-01,4,413,3,15,3,7,70,1,12,34,0,3,6,5,171,25,6,35,1,1,224,11,0,34,0,10,0,101,425,3,0,0,0,12,14,0,0,6,3,22,34,79,4,6,2,1,3,3,27,22,3,101,0,161,119,0,2,216,0,11,1,1,4,2,11,92,42,8,0,21,9,57,0,3,37,89,0,3,7,0,1,0,18,21,3,0,0,143,3,3,2,3,2,141,4,5,203,1,0,0,683,3,140,3,0,0,13,21,0,15,0,10,0,0,3,1,0,11,1,0,8,5,3,0,0,2,9,0,0,0,27,0,2,1,418,1,1,0,0,0,0,4,0,4,0,2,48,7,1,0,1,24,0,10,0,36,0,0,97,1,61,0,61,0,8,0,0,12,2,0,1,0,0,0,1,5,0,1,1,0,0,0,0,0,1,0,2,5,104,0,1,0,0,3,0,0,4,0,0,0,1,12,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41
TCGA-43-6143-01,7722,373,897,59,13,223,75,41,68,121,158,13,15,37,2990,44,20,51,165,4,665,209,1,146,14,79,339,266,772,3,2,110,11,93,4,83,5,11,1,46,95,10,2,13,31,16,220,31,7,29,34,55,46,0,2,43,2,144,6,402,67,7,177,11,72,1962,51,12,0,59,23,125,6,213,51,198,16,10,21,5,2,288,51,23,1504,1,12,0,29,4,2,3,1,11,58,187,10,395,5,10,1161,206,133,27,2,154,1,9,2,1,0,26,0,14,14,12,4,5,0,0,127,0,26,0,1,1,4,0,0,0,156,1,7,0,3,0,25,1,5,0,6,7,2,0,1,1,1068,3,1341,1,5,7,97,9,10,543,12,16,22,1,3,20,36,0,1,3,1,2,7,14,1,1,1,6,50,0,0,0,0,4,1,10,2,2,0,0,0,4,30,0,0,98,1,2,16,0,316,0,3,0,1,0,3,2,0,51,18,2,0,0,31,0,1,0,0,1,0,8,1,229
