Unnamed: 0,CCNB1,ZWINT,PBK,KPNA2,HOXC13,ATAD2,HOXA10,WWC2,PRKCE,CKS1B,HECW2,TGFBR2,RIMS2,PREX2,SLC1A1,LIMCH1,GGH,UTRN,TMEM100,TSKU,GPD1L,CITED2,PTPRM,LEPR,GIMAP6,TFR2,RECK,MAGEA10,ELOVL4,GATA6,SLC7A11,LRRK2,CSAG1,SLC19A3,MSR1,GRM4,MAGEA12,ARHGAP29,PAX3,GRIP1,C2,DDAH1,CPB2,KCNQ5,GMFG,LEFTY2,ITM2A,TBX18,ENPP4,BEND6,AKAP12,NR3C2,LST1,ANXA3,LPCAT1,ULBP2,PGC,COX7B2,VTN,SERTM1,PRDM16,TLR8,POPDC3,PAH,VWDE,SELE,GREB1L,ADAMDEC1,SYNDIG1,PROK2,GTSF1,GREM2,RND2,SLC22A3,HOXA9,AHSG,SLC38A4,RBP4,GLDC,ELAVL2,MAEL,SERPIND1,F2,TM4SF5
TCGA-85-7950-01,2946,1621,666,5729,43,2819,286,1153,689,797,744,3050,3165,77,200,1767,1601,7764,16,2704,978,2005,2324,813,485,183,426,46,46,947,919,545,651,17,611,477,7,587,37,740,499,477,13,1017,438,2,338,214,624,130,784,1459,255,406,5867,441,26,0,32,0,82,105,474,97,26,1400,21,887,1958,5,2188,70,68,128,43,0,27,4,12,18,2,13,0,1
TCGA-85-8052-01,1526,934,467,4218,110,2264,228,346,385,1214,129,1370,408,315,97,779,1546,2576,23,6893,397,1350,490,276,239,206,230,3,413,108,7997,914,5,59,557,18,2,348,9,651,408,539,7,154,253,4,132,149,398,121,481,89,178,860,3899,93,898,0,5,16,281,82,338,685,494,55,39,118,113,4,2,9,219,149,31,71,12,35,60,9,3,9,1,0
TCGA-85-8070-01,1433,1597,284,6158,13,1388,160,27,832,1008,81,821,180,23,489,1464,2702,1420,37,7780,646,864,612,283,56,443,222,335,62,73,7478,32,2706,25,143,1,2297,641,82,12,77,1554,9,254,94,1,53,12,463,103,112,41,34,858,5670,131,4,60,8,9,19,13,14,79,386,20,499,36,341,2,1103,0,2274,22,128,8,3,23,68,26,2,9,1,0
TCGA-85-8071-01,1927,2287,977,4756,68,2214,143,78,906,894,196,845,329,27,177,263,2527,1557,2,7822,421,1402,458,395,146,18,320,0,322,40,4120,57,5,2,79,0,2,117,100,65,225,128,2,209,89,1,502,460,178,228,203,774,52,440,2266,177,1,0,3,8,6,14,1,11,112,33,7,27,19,1,232,7,149,3,18,0,84,2,29,11,2,6,11,0
TCGA-85-8276-01,1702,2804,399,5855,110,3931,78,594,349,1977,455,3176,80,132,166,882,1046,2783,64,2502,382,2217,1143,340,830,58,694,0,393,247,200,586,0,32,1799,132,1,354,1,731,1110,838,41,216,985,13,532,371,372,123,883,67,441,170,3314,747,524,0,14,1,80,325,126,29,214,74,601,1568,397,22,15,41,64,146,15,3,22,31,135,1,5,6,0,0
TCGA-85-8288-01,2289,3393,2186,9104,200,5031,386,1011,1462,2304,751,4180,10,187,152,919,2836,6790,17,6416,1032,2499,2203,484,471,234,994,1,146,167,197,267,7,21,1082,56,0,1505,82,195,227,2087,3,333,740,6,354,282,556,271,1538,281,356,1663,2725,509,1,0,10,0,126,64,1273,26,432,309,21,493,1052,6,12,235,76,199,35,0,103,179,25,28,15,1,0,1
TCGA-85-8350-01,1817,2173,417,4874,772,2004,210,754,1354,1309,461,4456,89,266,319,1818,2355,2268,318,4219,956,2652,2037,583,580,190,454,1545,253,386,195,1186,0,122,823,386,0,1837,35,825,671,1090,57,277,683,16,527,409,990,127,1422,265,795,852,11106,795,557,18,22,20,417,83,105,94,472,87,120,212,308,13,4482,380,233,430,19,50,149,197,68,47,233,32,1,0
TCGA-85-8479-01,2930,2192,800,4296,1485,2637,341,289,371,2715,220,1725,842,108,225,2844,2737,951,8,4368,502,770,627,227,90,390,101,2,152,133,574,43,0,8,90,92,0,263,12,5640,119,215,2,115,333,0,102,19,294,134,126,19,373,593,5395,2049,1,0,8,18,171,9,5,0,240,107,29,2,20,9,1,5,72,110,10,19,48,0,18,3,1,21,0,2
TCGA-85-8481-01,1806,947,254,4043,107,2174,178,334,272,994,173,5566,13,27,123,629,2022,1511,8,6649,784,1644,399,168,192,176,291,3,82,219,2131,117,867,16,1410,68,1037,270,1,54,561,872,3,90,462,0,118,531,161,83,4832,11,288,2367,4436,2425,3,2,9,0,28,106,115,1,4,44,7,28,340,36,167,25,20,375,10,0,102,18,87,3,1,0,0,0
TCGA-85-8584-01,3834,2581,627,6241,4,2941,4,890,265,2431,296,4562,249,84,304,4062,2277,1893,25,15167,620,1158,2954,163,445,76,251,0,27,210,3339,517,2,29,323,13,0,419,0,109,1097,3197,0,17,902,9,404,360,405,164,11085,98,254,2008,4670,18,189,0,45,1,46,79,32,33,91,63,58,375,197,1,22,15,67,1365,25,1,22,30,2572,0,4,23,147,94
