Unnamed: 0,TPX2,UBE2C,CDC20,MYBL2,BIRC5,FOXM1,CCNB1,CENPF,MCM4,RRM2,ZWINT,CDK1,PBK,PRAME,PSAT1,TK1,IGSF9,MKI67,RACGAP1,MCM2,ECT2,KPNA2,HOXC13,TIMELESS,ATAD2,HOXA10,EMP2,PRKCE,TNS1,SHMT2,C19orf48,SKP2,MCM7,HECW2,TGFBR2,LMNB1,PAICS,ACTL6A,NCAPD2,FKBP4,PKP3,LMNB2,BOP1,TTLL12,POLR2H,ALG3,PREX2,PPP1R14B,H2AFX,SLC1A1,LIMCH1,SELENOI,UTRN,SLC16A1,TMEM100,PTGFRN,TSKU,PLPP2,GPD1L,CITED2,PTPRM,EPHB3,KLF6,RECK,VANGL2,FAM162A,SLC7A11,PROM2,LRRK2,PHGDH,DSC2,NEDD9,SLC1A4,ERO1A,PLOD2,PAX3,IGF2BP2,DDAH1,KCNQ5,LEFTY2,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,SERTM1,PRDM16,SELE,PROK2,GREM2,HOXA9,ELAVL2
TCGA-NC-A5HK-01,15122,4398,4037,6304,3213,4149,3402,4112,7993,10011,3539,4090,966,24411,3144,6056,1014,6990,2220,3979,4776,8197,363,8476,3953,233,2529,515,2555,15959,3375,7774,10523,261,2494,2529,7189,3298,7277,19641,18527,9333,8119,4982,10973,7822,28,8560,5496,128,2107,7101,1570,6271,17,6748,4010,5081,2132,2103,2325,1639,12508,355,1384,2905,405,14017,128,3699,2563,2807,2426,38961,14590,0,13893,1705,3,1,3,1233,7036,16655,1113,0,518,15,5,1,76,0
TCGA-NC-A5HL-01,9464,2569,2686,2057,5064,2141,3841,5053,7399,2361,2319,5535,579,6037,6828,6102,4912,6905,2318,1590,12699,12940,133,4560,2352,320,2732,473,6009,8890,2250,1466,15511,105,1884,2799,7086,9938,8870,7987,4568,4912,4394,3347,14466,18584,83,2887,1693,235,888,10810,3995,6301,17,8569,11311,3506,1805,867,451,2868,3678,608,1130,6040,7907,786,751,8742,4015,2807,19325,7167,9949,29,16813,304,157,2,5,752,260,2278,92,308,180,15,2,3,292,2
TCGA-NC-A5HM-01,8075,5944,4947,6342,4926,3008,3525,2570,9875,2823,2938,2864,906,1631,2254,9944,2427,4739,2569,2326,3568,9801,20,4770,3296,439,3445,462,1027,9350,4406,1512,12538,185,2025,3030,9745,3836,6275,3992,15144,4602,4063,3241,4506,4208,31,7035,4329,425,739,2682,1211,9374,12,10284,4850,4051,1069,1650,392,1343,2205,245,2115,9203,577,3389,175,7244,3132,2589,2473,21620,14163,4,5329,831,142,0,580,750,1178,3905,671,138,11,24,18,14,74,37
TCGA-NC-A5HN-01,30810,2544,3957,2893,5460,2829,3845,4647,7987,5410,3356,4390,1442,1882,9717,7329,3745,7686,3409,3459,7588,13991,144,4561,4426,71,3838,1101,1287,10844,6632,3242,11460,188,2974,3601,9541,6758,7869,15717,9924,12363,7868,20318,7006,6320,61,9438,4457,631,4041,10506,2832,14988,2,5482,4979,4689,658,493,252,599,4104,206,6101,9789,9611,3017,37,1973,14749,3465,20271,10010,2510,0,8052,159,897,0,1075,31,220,3338,175,345,8,14,2,2,24,1
TCGA-NC-A5HO-01,2145,2408,851,1851,1893,1597,3271,1954,4556,2869,1293,1971,1094,1867,614,4469,3398,1854,1694,522,3746,5619,181,3337,1897,7,8800,111,989,3445,2747,1287,5700,132,376,2864,3436,2948,5828,9593,3148,6113,2355,2253,6121,5089,54,2893,2244,212,129,1940,1100,1398,5,3187,1786,4267,763,597,371,2125,1662,86,2634,4697,362,6401,293,1879,9548,560,2521,16335,6190,132,3607,128,4,0,1102,692,73,476,475,1,6,45,23,11,32,2
TCGA-NC-A5HP-01,3510,1895,1441,1808,1905,2395,1705,4589,2856,1645,1782,2892,430,2828,1943,2319,2123,4536,2159,1139,4586,5068,301,1847,1912,392,3013,386,2971,3387,1449,1297,5438,363,1702,1283,3183,4191,6124,5216,7305,5013,3228,4004,5670,5801,83,4606,1550,95,1625,3313,2467,1642,35,7294,2975,3071,613,605,1198,8573,3671,682,11122,4957,299,7289,753,6642,3965,3213,6487,10125,4344,7,6800,389,120,6,895,292,850,4461,221,16,32,37,0,48,33,3
TCGA-NC-A5HQ-01,4551,2974,2120,3351,4733,4350,4702,2718,9243,5938,2916,3537,932,2365,2586,7903,10527,7075,2897,2639,5998,8435,200,5241,5267,249,6347,700,4150,9374,4948,3299,11912,491,1440,4308,5652,5960,9966,9199,7323,6812,6020,3934,8236,6951,212,4510,3965,481,551,4784,1497,5630,102,6900,4805,3371,1960,1006,1395,4107,11270,278,7075,10158,1535,4560,1265,4075,8987,2752,12853,15686,18329,4,13418,405,214,8,13,162,321,3785,283,12,60,176,1,17,43,4
TCGA-NC-A5HR-01,6022,3599,1920,5129,3057,3320,2611,6444,9211,4507,2063,6809,871,1295,5661,6744,2647,6573,3667,4715,8584,8498,88,4974,4591,605,7682,685,2449,9502,2546,1066,13323,232,2521,3378,7280,7075,9166,6748,3910,7809,3901,3579,7233,8575,85,3343,2932,34,1085,6713,1812,1542,4,4287,11302,7878,597,589,392,7523,1450,241,5392,8676,8170,3107,333,3510,2003,1161,14935,15814,12206,45,8918,185,74,1,642,323,218,1376,16,75,108,42,2,33,70,6
TCGA-NC-A5HT-01,3632,2391,3477,2889,5694,2369,2684,4542,10260,2129,1190,1935,552,7,3352,8602,9579,2912,2417,2597,7246,7298,59,4518,4572,188,2922,1627,3525,4631,6004,3642,11786,563,6780,3617,13163,3205,8246,10962,4616,11674,8140,11418,4058,2804,178,5783,5076,496,280,3764,4627,11915,49,15210,13136,7822,4161,2045,1092,181,2016,130,7639,5902,715,1582,558,6423,9758,8673,7071,10753,654,52,2238,3801,1247,1,35,60,769,8188,523,2,50,236,0,15,147,0
TCGA-NK-A5CR-01,2671,1943,2879,1534,2927,1754,1999,3723,9122,2721,1091,1587,574,2902,6380,2445,7144,2897,1582,1995,9139,6047,31,3512,3012,470,4569,498,1836,4199,2815,2000,17947,134,706,2748,5985,9667,4503,5736,4208,6547,3796,5524,10532,13618,31,2199,1748,61,803,5317,2393,9022,9,9193,6489,3499,453,960,130,9423,2038,176,3620,4384,10562,3223,302,5142,5615,2212,5665,15271,1764,0,18318,501,802,1,7,47,225,2696,1062,13,34,2,1,11,19,1
TCGA-NK-A5CT-01,4573,4178,4197,5396,3928,2640,2591,3417,6997,6496,3599,3887,823,4,315,10820,3290,7322,2659,1255,2179,4905,197,2520,2451,169,3364,687,4671,3287,5714,5095,8240,392,2350,2075,3877,1930,6665,7617,8886,4315,4596,2387,4260,3352,33,4889,2160,136,4109,2124,1441,7227,62,28642,3296,3292,494,4131,2196,1544,9884,36,912,5539,740,35269,708,138,3519,2215,173,12245,13952,2,999,451,37,3,182,79,1814,10977,4689,2,34,55,43,2,12,5
TCGA-NK-A5CX-01,3570,2556,1964,3141,1475,1246,2134,2590,5943,1999,2559,3352,929,56,883,2879,5822,3964,1851,2005,2731,3240,257,2497,2566,398,5806,459,6379,6907,4523,1734,7341,323,5462,2446,4638,3874,4586,4960,10291,4417,4349,3344,4312,2708,61,5214,1963,261,581,2338,2413,2616,91,15035,3957,2802,1745,1831,777,5361,9569,319,6651,4728,85,4172,1196,1540,19707,6299,3200,21696,13196,0,2447,625,87,6,9,536,1544,3693,644,11,64,40,22,19,97,1
TCGA-NK-A5D1-01,10588,7701,5676,11330,5954,5125,6331,7700,7776,5652,2426,4181,1217,6163,1575,5085,18780,8068,3722,7150,4825,7443,391,6645,3465,578,4021,463,4686,15995,3527,2326,20685,295,1276,8075,7852,4474,12863,10525,1983,6489,2122,1719,5635,4606,209,2749,2344,136,820,2089,1501,6590,142,7071,1647,2376,281,1191,606,2953,1561,278,4890,6584,70,2190,1831,6141,1998,881,1174,6824,14329,369,9411,1569,197,0,229,1104,742,10729,194,8,343,5,56,64,1005,195
TCGA-NK-A7XE-01,7181,6109,2683,4514,6499,4861,3468,6804,6477,4494,3622,4735,1061,4868,1564,7442,1866,5359,1692,1052,2166,12109,25,1748,2863,281,4845,271,644,3019,5373,1653,3993,148,2202,2470,5730,1854,13255,14862,7154,6586,6109,3246,3594,3020,18,3207,5125,13,239,4223,541,3611,5,5875,5487,5393,1507,481,491,1591,2606,239,2951,5290,3562,5223,95,2254,1690,2136,5815,4503,2042,19,555,187,45,1,9,337,289,5945,8,3,115,9,2,1,12,0
TCGA-O2-A52N-01,7508,2407,2828,2579,3687,3324,3596,1434,4346,2099,1567,2329,459,4462,967,4609,3669,4779,2648,2433,3247,8048,332,2351,4094,411,3337,535,3178,8700,6188,584,4513,168,5246,2591,7591,2917,7190,10506,7811,7361,5771,7598,4811,3246,65,4244,1463,151,733,3742,2057,2473,44,6378,3080,3060,427,2641,852,2230,12542,235,6127,4321,1561,23048,1103,4809,9195,1743,2323,22437,10754,7,8656,405,64,3,1046,144,1362,15308,350,1,174,84,2,11,604,29
TCGA-O2-A52Q-01,7030,5454,6519,2688,2625,1579,5874,2272,6395,3781,2590,3982,376,4693,1632,4581,1294,4319,3529,1394,1941,7524,2,3315,3370,75,1926,379,2307,6734,2731,675,9165,364,4107,4312,7107,1996,2755,5324,7377,3592,8166,2941,3641,2817,77,12223,3186,85,455,3310,2979,4188,13,2642,6124,1193,700,3202,1769,982,14855,318,389,8048,3878,4975,451,1290,6676,543,1039,40123,12896,0,3110,732,113,0,194,950,1458,8460,98,5,128,284,35,6,6,18
TCGA-O2-A52S-01,19785,7699,4889,25913,7430,7461,5193,14615,17484,15295,5449,5725,1805,3901,6590,8006,2203,17210,5858,8017,16154,20856,377,7731,6493,277,1980,461,9823,9887,7261,2032,21428,254,1621,4886,10628,9679,19088,17130,8849,24616,9055,15842,6295,8564,64,4533,4335,44,510,14781,1910,8721,10,11953,12307,4158,1152,702,720,823,2000,942,6573,2804,19805,176,428,6826,5291,4274,20698,3655,3434,6,12273,195,149,2,762,847,6279,3182,188,15,760,117,43,13,616,58
TCGA-O2-A52V-01,5404,2383,3137,3937,3912,3454,3812,6539,9890,7966,3559,5420,1154,3020,4111,6447,6049,5621,2686,3964,7516,8992,209,4519,3946,509,9475,1433,5926,4461,3681,3068,7717,349,1838,4961,7190,7057,9484,9661,6032,10162,4562,8703,5844,6785,119,2554,1507,92,412,6550,6378,9501,31,32935,5531,4319,1857,1465,1367,4451,9149,347,5750,4538,1347,12820,598,5060,9781,4139,10981,24197,9374,22,11575,612,286,4,1137,750,946,5384,1113,5,24,2018,21,26,19,1
TCGA-O2-A52W-01,7617,4459,3267,6911,3286,5003,3549,7729,15004,5596,2258,4430,841,2419,4878,5733,4763,6271,2244,4521,5058,7833,0,4499,6382,229,7442,523,4117,4596,4818,2200,15677,310,998,4614,8046,5245,15555,15760,4605,10629,8982,23364,4116,4396,145,2495,1038,253,366,2093,2336,5332,78,4601,3217,2605,2128,2270,548,1257,13517,87,4574,8729,611,1959,917,9207,7443,4171,5211,8786,3007,1,6910,497,1055,9,8,144,776,2957,899,0,72,115,4,12,35,0
TCGA-O2-A5IB-01,15940,7468,7947,18182,8328,12515,6235,21332,25776,12775,6615,4357,3695,4622,2926,3907,44655,22238,4950,24566,12671,18124,0,18900,10248,0,10567,1048,3505,15728,12976,6917,25539,728,1542,22801,23680,14101,10203,23063,6138,22697,5809,4291,4322,2803,223,6470,3187,273,1105,5113,14210,6727,1588,15286,1133,8235,1467,4796,1889,3630,27707,574,23572,7092,1136,4985,1860,25481,34530,2085,7250,8061,32213,7,57,4001,2160,2,9,3009,7700,10356,115,11,22,12,0,0,2,2
