Unnamed: 0,MIR205HG,DLX6-AS1,LINC00491,POU6F2-AS2,ADAMTS9-AS2,AC011374.1,ADAMTS9-AS1,AL513123.1,SOX21-AS1,PVT1,AL033397.2,AL033384.1,SFTA1P,AP003119.2,LINC00393,LINC02457,AL355388.1,LINC00355,AC026785.3,SOX2-OT,AC105206.1,LINC01564,AL139385.1,AC083801.2,AC078778.1,LINC00392,PTCSC2,MAGI2-AS3,NAALADL2-AS2,AP000438.1,AL035258.1,HOTAIR,AL354707.1,AC019080.4,LSAMP-AS1,C10orf91,MED4-AS1,LINC00520,AC093510.2,KDM4A-AS1,MIR130B,AC006238.1,HOTTIP,LINC02012,AL136018.1,LINC00871,PART1,AL391427.1,LINC00470,BCRP3,AC090772.3,UCA1,AC010731.2,LINC02561,AC108002.1,LINC00337,LINC00615,LINC01697,MIR31HG,MIR137HG,AC026336.3,AC005722.2,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,LINC00536,C1orf132,AP003119.1,TM4SF1-AS1,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AL590666.2,AC124067.2,AL512785.1,MUC2,LINC00173,RNF217-AS1,AL807740.1,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,LINC00992,LINC00518,LINC00184,LINC00211,STEAP2-AS1,AC089983.1,LINC01370,WASIR2,AC005722.3,AC097717.1,SAMD12-AS1,LINC00504,LINC00261,STEAP3-AS1,AC006305.1,MIAT,CCDC26,HCG21,AL021395.1,AL357518.1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,SLC7A11-AS1,LINC00051,H19,AF106564.1,NAV2-AS2,AC004990.1,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AC121764.1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-21-1077-01,2871,364,167,30,25,82,20,2,905,596,166,92,169,32,76,13,1,75,20,12149,1,250,123,23,16,499,33,526,15,2,90,18,117,79,26,73,1,61,2,460,6,1,7,108,3,14,110,28,202,6,29,24,45,143,152,25,35,28,5,16,1,42,109,18,167,1,18,38,13,5,4,62,28,323,1,3,49,11,78,192,86,13,4,14,73,385,8,4,3,2,11,6,3,257,39,23,0,73,0,1,7,6,29,2,21,18,3,487,64,39,20,2,5131,15,0,1,2,1,5,0,2,15,5,4,0,3,0,1,16,3,31,3,0,1,5,0,200,12,178,133,0,129,1,79,27,2,1,0,0,0,11,0,0,1,1,9,280,7,3,16,10,7,1,11,2,0,0,5,0,1,3,4,3,4,1,0,0,4,8,5,0,0,0,0,1,1,1,1,3,0,0,2,0,1,3,0,26,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,3,2,0,0,0,0,11
TCGA-21-1078-01,2944,317,429,203,14,50,1,18,721,417,14,7,21,54,2,0,10,0,0,33,0,28,105,20,22,0,0,217,0,0,0,0,2,4,46,35,1,0,2,84,11,6,24,15,0,16,11,27,0,0,22,11793,0,1,30,8,2,1,0,0,8,3,68,0,39,0,0,3,0,0,0,813,0,3,0,0,0,0,27,160,7,0,16424,1,17,0,0,1,3,8,6,0,1,126,2,0,0,154,0,1,0,0,0,0,34,0,4,107,2,9,9,2,11,3,0,0,0,0,2,0,1,1,15,6,0,0,0,1,0,0,80,0,0,0,15,0,1,0,62474,2,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,11,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
TCGA-21-1079-01,5170,12,434,195,7,109,2,13,11,330,15,92,132,30,3,33,0,126,12,40,2,4,52,6,15,1,2,335,0,0,65,57,154,0,8,109,0,97,1,64,2,3,18,6,19,0,28,0,58,0,3,61,0,1,11,45,0,1,1062,10,13,57,4,4,73,1,4,2,1,94,3,28,1,8,1,7,10,0,11,6,377,4,5,9,22,0,0,11,3,1,7,12,0,134,2,4,0,12,42,41,1,0,6,0,2,0,1,0,177,0,79,1,143,16,0,0,1,0,2,0,0,31,7,0,0,0,0,1,287,0,2,0,0,0,1,0,1,0,899,9,0,1,0,5,0,0,3,0,0,0,1,0,0,9,1,0,0,1,0,0,2,13,0,2,0,12,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,54,0,27,2,0,5,0,36,0,0,0,2,1,14,0,3,0,0,0,1,2,47,20,0,0,1,0,0,0,0,5,4,0,0,0,1,0,0
TCGA-21-1080-01,7493,75,267,239,6,159,1,101,32,1359,22,412,35,9,957,3,1,7,43,36,0,19,39,2,20,1952,8,180,22,1,0,14,8,3,10,40,2,546,3,90,2,1,17,31,42,8,17,2,170,2,3,22,0,2,87,21,0,120,12,0,0,6,93,15,90,0,0,4,1,4,0,49,1,27,6,7,20,8,30,6,9,0,0,6,447,0,109,22,4,14,6,43,27,19,178,0,0,18,1,8,1,3,1,0,12,0,7,1,95,15,6,0,257,17,0,0,0,0,1,0,3,15,10,0,0,2,0,3,17,0,2,0,0,0,5,0,1,2,21895,0,0,148,2,0,8,5,23,2,2,0,6,3,0,164,0,14,0,0,3,1,1,2,5,6,1,9,0,0,0,0,1,3,3,0,1,0,0,0,0,3,24,1,3,1,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0
TCGA-21-1083-01,7961,136,801,66,23,318,40,19,13,2842,208,25,46,153,101,3,0,291,161,46,1,104,139,42,110,5,5,692,0,1,0,15,1004,0,18,896,1,5,8,244,19,8,30,81,251,1,21,173,561,7,85,20,5,45,144,174,1,59,2,0,24,595,304,1,85,0,23,448,0,98,2,1198,710,3,4,6,116,30,42,289,45,0,0,88,15,0,82,2,34,33,25,1,27,34,171,454,0,46,0,22,3,26,11,0,54,80,8,34,794,13,32,3,644,23,0,8,0,0,0,0,10,0,23,0,0,3,3,1,108,1,3,0,0,2,2,0,38,8,1281,2,0,60,0,4,2,14,2,1,0,0,3,17,4,1,27,1,106,0,0,10,268,4,2,150,1,12,0,0,0,0,8,0,1,0,1,0,1,0,1,2,0,1,1,0,1,0,2,7,0,0,7,3,0,0,2,0,0,0,143,0,0,5,2,4,0,1,0,0,0,1,0,1,0,40,4,0,59,0,0
TCGA-21-5782-01,899,176,98,38,77,40,73,8,805,576,19,31,87,15,63,51,3,75,13,414,10,37,43,16,21,847,36,210,26,8,31,30,63,17,64,27,1,50,14,62,13,7,34,69,30,39,245,9,228,4,2,33,9,7,27,33,15,68,21,77,25,35,60,13,150,15,171,25,21,171,72,137,11,21,206,7,3,79,17,16,29,3,118,22,129,16,9,12,8,6,10,19,49,32,67,130,1,23,21,23,56,16,11,57,25,1,68,78,240,91,27,38,206,581,4,30,5,97,43,0,9,8,156,28,9,50,13,13,64,8,18,8,7,8,51,12,39,14,326,5,2,35,3,46,16,23,34,18,11,6,6,2,21,12,39,11,54,42,25,23,16,9,25,27,2,6,15,10,22,27,38,44,8,4,4,14,7,7,10,7,8,4,20,30,14,54,13,42,11,10,37,23,27,14,14,14,21,16,51,29,55,3,3,11,31,9,1,10,37,152,18,14,4,1,25,14,13,5,35
TCGA-21-5784-01,14193,42,121,171,26,305,34,6,426,690,8,82,584,20,2,0,0,0,2,94,1,66,80,0,11,0,58,378,0,2,65,1,27,11,32,113,3,3,5,47,5,3,33,15,1,3,44,2,227,2,5,12,0,15,9,25,12,25,18,1,3,9,1,6,71,4,0,8,22,1,6,42,2,15,2,16,2,0,37,10,27,0,8,11,88,2,0,1,1,1,12,3,0,31,27,0,0,25,7,22,5,3,2,1,14,1,0,88,290,97,43,4,76,10,1,9,2,1,170,0,2,1,4,8,0,8,0,0,5,0,2,4,0,1,578,0,2,0,363,116,2,105,5,19,78,0,3,1,1,0,0,3,1,1,0,70,2,0,5,61,0,1,1,0,0,0,0,3,0,0,0,18,1,0,0,0,1,26,17,0,0,0,1,5,0,0,0,0,1,0,0,0,1,0,0,11,0,0,18,0,1,6,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0
TCGA-21-5786-01,6070,571,289,193,6,501,12,1,123,529,3,71,20,36,0,30,0,279,3,150,0,10,67,6,12,0,10,400,5,7,2,101,44,0,27,379,1,17,9,42,14,7,25,51,2,2,21,0,392,1,7,2,1,2,111,53,0,0,73,17,0,6,2,4,30,0,2,31,4,7,0,30,1,51,2,1,15,4,16,10,55,1,54,61,41,0,9,5,2,6,8,9,123,74,4,162,0,121,8,7,1,2,3,0,73,0,5,3,35,1,69,2,166,8,0,0,0,0,1,0,3,32,4,0,0,93,0,0,122,0,9,0,1,2,0,0,1,11,1818,159,0,1,1,0,13,2,2,1,0,0,1,1,0,5,1,2,0,2,0,10,0,4,0,1,0,5,0,0,0,4,56,31,3,0,0,0,0,1,3,0,0,0,1,0,2,0,0,0,3,0,2,0,0,0,1,0,24,0,2,0,2,0,53,0,0,0,1,0,2,0,3,0,0,25,8,0,0,0,0
TCGA-21-5787-01,45,9,74,0,14,5,8,1,22,5591,7,5,1525,11,0,0,0,133,1,6,4,6,115,0,12,0,0,235,5,0,0,37,10,2,2,49,1,12,0,55,7,18,0,39,90,0,6,2,1,1,1,1210,0,2,2,16,2,9,84,1,56,0,0,0,23,0,0,2,0,1,0,110,11,32,0,0,7,0,4,41,1,0,26493,8,11,0,6,0,0,2,0,6,48,7,1,126,0,105,15,1,0,0,1,0,5,0,0,20,1,23,0,0,107,11,0,0,0,1,9,0,0,0,2,21,0,0,0,0,6,0,2,0,0,0,122,0,11,0,450410,44,0,6,0,145,21,0,3,0,0,0,0,2,0,0,0,8,292,0,1,0,3,4,5,2,0,0,1,1,0,0,0,0,1,1,0,1,0,3,1,0,0,1,4,0,1,0,0,0,0,0,1,0,1,0,1,10,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,51,0,0,0,0
TCGA-21-A5DI-01,12810,256,155,114,2,129,1,29,173,691,42,106,4,54,0,124,0,0,29,97,0,28,36,12,21,2,6,145,23,0,5,7,2,117,1,16,1,4,1,139,6,3,4,14,42,0,1,80,0,3,4,6,14,30,18,15,1,8,801,0,0,17,0,0,179,0,3,1,4,93,1,125,4,29,0,34,0,1,12,1,27,1,90,198,53,0,0,10,2,7,5,0,0,22,18,0,0,1,3,12,1,6,18,2,0,1,4,9,78,0,48,2,825,10,0,0,0,0,1,0,3,0,0,3,0,6,0,1,84,0,4,0,0,0,0,0,13,2,139,16,2,6,2,9,0,0,0,7,0,1,0,0,0,2,0,0,1,0,0,6,0,3,0,0,1,1,0,1,0,0,2,22,2,1,0,4,0,1,4,0,1,7,0,2,0,0,0,0,2,0,0,0,2,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCGA-22-0940-01,3482,227,369,27,16,43,16,23,89,930,29,18,212,27,3,1,0,0,160,59,1,12,98,12,37,2,4,835,17,1,2,82,36,25,1,9,1,1,4,36,3,5,7,19,18,1,39,36,188,5,9,9,0,54,19,8,0,105,211,0,75,82,1,0,91,0,4,62,0,6,3,170,23,11,4,4,3,16,56,185,3,15,247,20,101,0,4,1,1,6,4,0,137,23,31,12,1,127,0,251,0,17,14,0,33,1,4,36,446,81,19,0,471,33,0,0,2,3,2,0,2,0,2,29,0,4,0,3,51,0,64,1,1,2,8,0,19,0,70,187,2,23,2,18,15,1,1,0,1,1,1,0,0,0,2,8,0,4,2,9,69,4,2,0,1,3,0,2,1,0,3,6,4,0,0,0,1,2,8,1,0,6,1,2,0,1,1,7,7,0,0,0,2,0,0,0,17,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
TCGA-22-1011-01,7795,20,203,221,26,213,11,10,652,392,28,41,45,5,13,3,0,0,8,137,0,17,40,6,18,7,15,360,10,0,91,18,46,132,39,47,1,36,4,142,5,2,12,42,4,3,1225,4,262,3,3,48,4,0,47,15,6,56,94,1,1,11,53,5,63,1,0,0,5,177,1,127,1,39,4,3,28,0,13,22,14,1,22,23,63,4,0,11,0,4,4,0,2,87,25,11,3,2,3,3,3,7,6,0,49,0,4,41,72,2,37,4,1202,7,0,18,0,0,0,0,2,0,12,7,2,0,0,0,7,0,106,0,2,0,2,0,2,8,728,4,1,74,1,6,3,2,7,2,1,0,1,2,0,1,1,1,5,1,3,10,0,0,1,0,1,1,1,1,1,0,0,9,2,0,0,1,0,5,4,4,3,1,1,5,1,0,0,0,2,0,0,0,3,0,1,0,0,1,5,0,0,0,3,0,1,0,2,0,0,1,0,0,1,0,1,1,2,0,0
TCGA-22-1012-01,4519,197,151,12,9,14,4,14,582,668,21,92,40,21,713,22,0,42,26,1425,0,50,64,14,29,855,21,186,2,1,6,2,145,88,37,77,0,128,4,219,4,3,0,59,7,45,5,55,134,2,7,8,4,72,20,66,0,5,3,15,0,8,27,2,43,0,2,31,35,23,10,33,0,19,0,0,3,4,13,5,40,0,2,47,1139,59,37,5,7,7,7,21,4,67,2,4,0,49,0,9,0,0,21,0,17,0,6,63,303,25,1,18,1528,9,0,0,1,0,7,0,3,0,111,4,0,0,0,0,35,0,1,0,0,2,45,0,3,26,154,0,30,5,0,27,14,0,7,0,0,0,1,3,0,2,1,13,1,8,1,12,3,3,1,0,2,7,0,2,2,0,0,6,2,3,0,1,0,6,2,1,1,0,0,3,7,0,0,0,0,0,4,0,2,0,0,0,0,0,1,0,0,0,1,5,0,1,7,0,0,0,0,5,1,0,0,0,0,0,0
