Unnamed: 0,ANLN,CCNB1,ZWINT,PITX1,CDK1,PBK,PSAT1,TK1,GJB6,RFC4,WDR72,FAM83F,FAM83D,KPNA2,HOXC13,UBE2S,ATAD2,HOXA10,OTX1,IQANK1,PRKCE,DAPL1,AK4,RPL39L,ARNTL2,HECW2,TGFBR2,GBP6,FBXO45,MELTF,CAT,XXYLT1,PTPRZ1,BMP7,NPM3,TTLL12,POLR2H,ALG3,PREX2,PPP1R14B,SLC1A1,LIMCH1,PDK1,SOX21,GGH,UTRN,SLC16A1,CYBRD1,TMEM100,EIF4EBP1,SIAH2,BCL11A,TSKU,GPD1L,KCTD1,CITED2,PTPRM,EPHB3,YDJC,EGLN3,RECK,TENM4,PIGX,FAM162A,PAX9,SLC7A11,BDH1,LRRK2,FST,SMO,FRMD6,LAMP3,TPD52L1,LGR4,RGMA,SLC1A4,MGLL,SERPINE2,PAX3,IGF2BP2,DDAH1,KCNQ5,LEFTY2,CYP2S1,TBX18,ENPP4,STON2,AKAP12,LPCAT1,ULBP2,PC,ZNF703,FGFBP1,WNT7B,SERTM1,PRDM16,SELE,PROK2,GREM2,HOXA9,ELAVL2,NOS2,GSTA1
TCGA-NC-A5HL-01,3693,3841,2319,2858,5535,579,6828,6102,2160,7405,2244,1956,5448,12940,133,1343,2352,320,292,1651,473,205,3182,5601,3157,105,1884,3128,5831,9511,3007,6736,17228,5338,2769,3347,14466,18584,83,2887,235,888,2189,155,1753,3995,6301,3065,17,5896,7045,232,11311,1805,1889,867,451,2868,2166,3811,608,2048,8007,6040,819,7907,4912,751,3730,4302,1995,8788,4518,1057,2860,19325,759,3769,29,16813,304,157,2,7714,5,752,919,260,2278,92,1272,366,2256,286,308,180,15,2,3,292,2,60,193
TCGA-NC-A5HM-01,4055,3525,2938,4616,2864,906,2254,9944,1293,2861,2208,1987,3669,9801,20,1851,3296,439,500,2766,462,1839,1993,1998,1906,185,2025,3392,2014,1012,5585,3839,4846,8689,1691,3241,4506,4208,31,7035,425,739,1613,1319,2271,1211,9374,654,12,16740,3324,555,4850,1069,1349,1650,392,1343,1586,19502,245,774,2713,9203,1525,577,1822,175,2383,644,3577,5267,2175,2217,1124,2473,963,16346,4,5329,831,142,0,5611,580,750,2403,1178,3905,671,1438,2733,5993,8399,138,11,24,18,14,74,37,24,5355
TCGA-NC-A5HN-01,5860,3845,3356,2429,4390,1442,9717,7329,89,2654,2254,1886,3652,13991,144,2724,4426,71,2175,5231,1101,3213,3818,26,5462,188,2974,8128,2789,635,418,3302,22253,2431,3444,20318,7006,6320,61,9438,631,4041,3592,2566,3717,2832,14988,7798,2,5215,8824,1153,4979,658,4443,493,252,599,3640,1439,206,2253,4384,9789,106,9611,3266,37,12918,1019,8420,76539,3774,1971,3398,20271,7717,2761,0,8052,159,897,0,13394,1075,31,6335,220,3338,175,5361,3592,21085,4630,345,8,14,2,2,24,1,142,885
TCGA-NC-A5HO-01,915,3271,1293,10902,1971,1094,614,4469,2080,2068,893,744,1478,5619,181,1439,1897,7,469,1775,111,14010,416,1075,3298,132,376,6089,2571,3946,1361,2014,1716,3181,655,2253,6121,5089,54,2893,212,129,639,1608,1404,1100,1398,975,5,1962,3729,2240,1786,763,2057,597,371,2125,717,1966,86,152,3925,4697,1136,362,4028,293,11182,1273,7009,775,1204,1241,1048,2521,1047,3796,132,3607,128,4,0,10594,1102,692,1239,73,476,475,1027,2902,2703,3370,1,6,45,23,11,32,2,14339,6551
TCGA-NC-A5HP-01,3568,1705,1782,2740,2892,430,1943,2319,9062,2175,1646,1654,1462,5068,301,702,1912,392,165,4291,386,3071,1025,486,4624,363,1702,3035,1369,598,1778,1957,8543,1574,1324,4004,5670,5801,83,4606,95,1625,1342,1735,808,2467,1642,2574,35,2847,5340,2424,2975,613,1501,605,1198,8573,1594,3029,682,2511,1598,4957,718,299,298,753,1993,3505,7356,601,4210,3896,1393,6487,1177,2576,7,6800,389,120,6,3114,895,292,3638,850,4461,221,294,2053,2092,4618,16,32,37,0,48,33,3,69,70
TCGA-NC-A5HQ-01,2526,4702,2916,28783,3537,932,2586,7903,3519,4143,2611,2947,2615,8435,200,1793,5267,249,3281,5576,700,11747,1169,2713,10829,491,1440,10963,4049,7477,2453,6758,8806,8099,2981,3934,8236,6951,212,4510,481,551,2708,2484,2393,1497,5630,2363,102,3055,12337,5747,4805,1960,2761,1006,1395,4107,1297,6816,278,4565,5308,10158,6188,1535,7799,1265,4694,1687,9600,2235,2824,1940,9162,12853,4564,11109,4,13418,405,214,8,16110,13,162,3778,321,3785,283,2357,3098,1781,3099,12,60,176,1,17,43,4,27369,9029
TCGA-NC-A5HR-01,2138,2611,2063,904,6809,871,5661,6744,864,6062,2936,359,1764,8498,88,1153,4591,605,1050,2863,685,209,1342,2540,858,232,2521,2023,3466,3828,1838,1931,10162,1629,1518,3579,7233,8575,85,3343,34,1085,1382,1178,1547,1812,1542,715,4,18293,6559,1567,11302,597,1325,589,392,7523,1298,4926,241,3052,3814,8676,439,8170,1471,333,288,3301,2603,1703,2083,1859,1023,14935,656,509,45,8918,185,74,1,4025,642,323,1420,218,1376,16,812,3876,4773,986,75,108,42,2,33,70,6,125,1616
TCGA-NC-A5HT-01,1550,2684,1190,8070,1935,552,3352,8602,22,1550,4766,2087,7578,7298,59,2324,4572,188,3784,9342,1627,2549,3976,36,2561,563,6780,1978,1844,1399,3157,3082,13814,7010,1369,11418,4058,2804,178,5783,496,280,5756,7962,5713,4627,11915,1838,49,4518,11525,3688,13136,4161,5744,2045,1092,181,3758,121,130,8612,1841,5902,9075,715,2730,558,5758,4649,7771,4031,3734,9456,27258,7071,1837,8432,52,2238,3801,1247,1,19914,35,60,5449,769,8188,523,3137,2867,3718,11588,2,50,236,0,15,147,0,9615,504
TCGA-NK-A5CR-01,2773,1999,1091,3049,1587,574,6380,2445,7413,8929,1690,2137,1609,6047,31,1257,3012,470,1473,2394,498,1621,2259,4502,1848,134,706,5248,5944,5815,1889,6183,29467,6781,1380,5524,10532,13618,31,2199,61,803,1822,1293,4508,2393,9022,4986,9,17298,3609,1212,6489,453,2719,960,130,9423,1010,314,176,2704,6641,4384,653,10562,5562,302,2860,7601,6122,732,5128,1662,3950,5665,3464,1361,0,18318,501,802,1,10679,7,47,1402,225,2696,1062,1880,13086,5489,4561,13,34,2,1,11,19,1,5,584
TCGA-NK-A5CT-01,5369,2591,3599,3462,3887,823,315,10820,148,1845,3774,251,1209,4905,197,2861,2451,169,231,2005,687,8,4995,312,6507,392,2350,654,1712,2190,718,933,23,12,1684,2387,4260,3352,33,4889,136,4109,1879,81,921,1441,7227,836,62,3623,2093,58,3296,494,3708,4131,2196,1544,901,11855,36,38,1030,5539,207,740,146,708,54,37,2473,1328,3907,416,37,173,1944,83,2,999,451,37,3,333,182,79,833,1814,10977,4689,1305,1917,71,6239,2,34,55,43,2,12,5,8,41
TCGA-NK-A5CX-01,1874,2134,2559,3536,3352,929,883,2879,2424,2096,3999,2543,4246,3240,257,1608,2566,398,659,6739,459,291,1693,1536,4384,323,5462,12847,2239,1338,2988,3006,6265,6781,1074,3344,4312,2708,61,5214,261,581,2031,1216,1456,2413,2616,1756,91,2968,4108,605,3957,1745,2012,1831,777,5361,1884,11525,319,3783,2763,4728,4833,85,2348,1196,4023,1054,7704,2339,2827,3037,3129,3200,2118,8335,0,2447,625,87,6,22384,9,536,3467,1544,3693,644,2774,2307,2322,3050,11,64,40,22,19,97,1,132,111
