Unnamed: 0,MIR205HG,DLX6-AS1,LINC00491,AC010168.1,POU6F2-AS2,ADAMTS9-AS2,G2E3-AS1,AC011374.1,MIR2052HG,ADAMTS9-AS1,AL513123.1,SOX21-AS1,C5orf66-AS1,PVT1,SFTA1P,LINC00393,AL355388.1,LINC00355,AC010280.1,SOX2-OT,AC105206.1,LINC00640,AL139385.1,AC078778.1,LINC00392,AC234772.2,MAGI2-AS3,NAALADL2-AS2,GHET1,AP000438.1,HOTAIR,AC008406.3,LSAMP-AS1,C10orf91,MED4-AS1,LINC01901,LINC00520,AC093510.2,AP001360.2,MIR130B,AC108676.1,AC084816.1,AC006238.1,HOTTIP,PKP4-AS1,LINC02012,AL590644.1,PART1,LINC00470,BCRP3,UCA1,AL079303.2,AC044839.1,AC092142.1,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,AL122058.1,LINC00163,LINC00461,AC021683.3,AP002478.1,AC112484.4,KCNH1-IT1,GDNF-AS1,AP003063.1,LINC01992,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AL121761.2,AC069120.1,MUC2,LINC00173,AC061975.6,MLIP-IT1,AL034397.3,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,LINC00518,LINC02031,LINC00184,LINC00211,STEAP2-AS1,AC068305.3,WASIR2,AC097717.1,CERS3-AS1,LINC00504,LINC00261,STEAP3-AS1,AC006305.1,MIAT,CCDC26,HCG21,AL021395.1,AL357518.1,RMST,AC004832.1,B3GALT5-AS1,PRICKLE2-AS1,AP000553.1,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,FAM138B,LINC00051,H19,NAV2-AS2,AC004990.1,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AC008109.1,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,AC024475.4,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3419-01,2716,70,340,159,38,8,305,561,130,3,14,4,1606,407,10,98,0,212,5,55,0,1086,129,11,4,150,84,1,153,1,30,117,18,75,0,173,10,2,0,21,871,13,2,0,1215,188,81,552,244,1,5,38,3,120,171,0,5,107,3,2,13,0,3,3,1,51,0,0,1,39,0,35,0,0,12,32,15,1514,0,21,11,258,1,61,2,7,8,0,16,145,2,5,0,1,83,0,1,8,728,18,2,11,1323,1,2,0,296,9,0,13,0,0,6,680,0,7,1,96,0,0,10,1,0,1,0,13,0,1,0,1,0,0,2726,0,27,0,0,0,0,3,0,3,0,6,10,0,0,0,2,0,0,1,138,10,1,1,15,68,2,13,0,1,0,0,0,0,6,0,2,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TCGA-18-3421-01,3886,283,184,99,75,15,12,106,108,6,0,111,7,1485,293,8,8,0,125,471,1,313,20,25,1,18,178,13,13,0,0,6,10,58,0,0,5,1,114,6,0,6,0,9,876,10,28,467,0,0,2,120,1,264,45,999,44,2,79,44,30,0,13,69,1,34,3,147,63,1,0,24,1,4,0,1,27,17,16,9,20,0,13,23,2,11,17,2,0,18,7,1,0,6,6,0,1,8,5,94,7,110,59,63,15,0,129,1,0,100,0,0,8,12,0,0,3,2,1,0,8,1,0,18,12,2,0,1,0,40,0,0,32,0,10,4,1,9,0,2,4,0,0,0,0,2,0,0,11,0,0,0,0,44,0,1,0,0,0,0,0,0,0,0,0,0,7,2,0,0,1,4,6,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TCGA-18-4086-01,6079,368,44,77,81,16,95,113,11,7,51,425,28,1201,26,71,0,7,17,1188,0,45,208,30,59,108,466,15,53,0,0,1,11,113,1,5,26,0,49,3,18,2,1,2,42,78,8,349,4,1,17,79,8,27,13,7,1,15,3,56,27,2,12,7,16,59,50,113,15,4,6,28,0,3,3,0,60,38,7,4,253,0,5,57,2,5,5,1,1,407,4,1,0,2,4,4,1,4,13,6,5,35,34,8,93,0,1370,39,0,13,0,0,2,94,0,1,0,13,2,1,3,0,0,5,0,47,0,0,5,4,0,8,231,1,212,0,7,3,4,4,4,0,1,4,2,0,0,1,6,0,0,2,1,31,5,0,1,0,0,1,0,0,1,2,2,0,1,3,1,0,1,8,0,0,0,1,3,2,8,1,0,0,1,1,0,0,0,0,0,0,0,7,2,3,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,0,2
TCGA-18-4721-01,824,291,81,37,54,7,52,59,28,7,46,162,0,409,8,12,0,0,142,2944,0,31,73,6,0,16,140,14,14,0,0,1,30,1,0,17,4,0,2,4,6,7,0,3,55,7,2,17,23,0,1,0,0,54,13,8,17,0,7,42,3,0,0,1,10,7,1,1,11,0,1,15,2,0,4,6,13,5,0,3,21,0,2,2,0,3,5,3,28,119,11,4,0,0,7,2,0,1,0,1,0,1,92,5,2,0,97,17,0,14,0,0,0,6,0,1,3,17,0,0,0,0,0,1,0,20,0,0,0,0,0,0,38,0,35,0,0,9,3,0,0,0,0,1,1,0,2,2,0,0,0,3,2,1,1,3,1,0,0,0,0,0,0,0,1,0,0,0,0,3,0,2,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,1
TCGA-18-5592-01,7229,540,171,59,225,0,1,572,39,2,55,483,6,1028,8,4,1,95,30,214,0,132,54,19,2,51,131,1,24,1,60,6,9,150,0,0,54,1,5,3,1,6,2,63,35,66,3,42,184,3,173,65,5,19,13,0,0,16,4,90,23,0,1,1,4,12,6,8,10,0,9,161,1,8,0,4,25,26,0,4,66,0,9,3,6,2,7,15,0,322,56,2,1,0,289,55,1,2,10,3,4,14,10,3,23,2,272,2,0,0,0,0,3,4,0,2,6,8,0,0,2,0,2,19,0,7,0,0,2,7,0,0,376,0,170,1,4,3,0,0,24,0,0,0,3,0,0,3,1,0,3,7,0,0,0,2,1,0,0,0,1,0,0,0,9,1,1,0,0,0,1,0,0,0,0,4,2,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0
TCGA-18-5595-01,7801,660,618,53,0,24,0,601,1,17,1,1277,149,1812,214,3,2,1,76,309,1,87,121,34,2,57,192,15,33,0,0,42,0,173,1,0,69,10,2,11,0,49,10,9,96,632,3,1439,0,2,133,171,4,7,15,70,4,2,8,53,23,1,0,0,3,65,9,104,10,0,1,15,0,8,1,12,54,22,1,10,22,2,8,4,5,11,1,10,0,1076,4,2,0,0,92,4,0,0,3,6,12,29,3,88,273,1,169,4,1,4,0,2,3,0,0,4,0,0,2,0,1,0,0,0,1,0,0,0,0,22,0,1,321,5,325,2,17,19,1,0,2,1,0,2,5,0,0,9,6,0,2,3,0,12,0,2,2,0,1,1,0,0,0,1,27,0,29,0,0,0,2,1,7,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,3,0,0,1,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,6
TCGA-21-1075-01,5697,1226,117,161,139,5,49,286,3,6,38,1576,0,1581,136,38,2,0,167,3951,0,134,57,31,1,126,131,74,118,0,2,3,0,121,4,88,43,2,89,14,1,19,1,0,65,5,6,95,471,0,108,22,0,79,6,113,0,6,2,106,7,4,6,0,73,13,0,146,4,6,7,28,1,3,24,2,68,15,3,2,190,0,3,26,10,12,3,49,55,492,12,5,0,3,29,0,0,19,8,3,4,8,100,47,54,18,13569,9,0,2,0,0,6,1,0,9,0,301,0,1,0,3,4,4,0,2,0,0,9,28,0,0,143,0,53,4,12,7,8,0,2,2,0,17,0,1,0,6,11,23,0,0,2,64,0,0,2,0,2,0,0,2,2,0,0,0,12,1,1,0,1,0,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,12,0,0,1,44,0,0,0,0,4
TCGA-21-1076-01,1313,289,112,27,183,23,63,409,44,56,49,712,10,1059,383,148,1,7,20,672,1,84,253,63,1192,108,989,9,64,1,17,4,44,5,4,4,521,7,12,8,5,40,9,3,34,45,8,32,193,7,58,16,103,19,9,35,10,69,5,339,23,1,19,3,35,35,23,60,5,2,5,114,11,5,23,6,34,23,9,4,109,0,57,136,4,2,2,27,4,80,20,11,0,3,13,2,4,3,33,2,9,14,59,155,10,13,1595,49,0,7,0,7,6,692,0,3,8,147,2,1,7,2,1,8,0,18,1,0,1,15,0,2,168,2,158,2,4,38,3,10,10,1,7,7,0,0,1,3,26,97,12,5,25,40,3,9,18,6,4,2,1,1,1,2,3,1,6,1,3,2,0,4,7,0,7,1,0,2,3,1,2,1,2,0,4,3,1,0,1,0,6,0,3,0,3,1,1,0,4,0,0,0,1,1,0,1,7,0,2,0,0,0,0
TCGA-21-1077-01,2871,364,167,113,30,25,96,82,73,20,2,905,104,596,169,76,1,75,60,12149,1,13,123,16,499,78,526,15,76,2,18,10,26,73,1,56,61,2,28,6,156,0,1,7,24,108,10,110,202,6,24,12,8,23,25,5,16,109,18,167,11,1,18,10,38,20,13,5,9,78,4,62,1,3,49,11,78,263,22,4,14,8,4,36,3,2,11,6,3,257,39,23,0,0,4,1,7,6,6,21,3,10,64,39,20,2,5131,15,0,1,2,1,5,147,0,2,15,5,4,0,3,0,1,16,3,31,3,0,1,5,0,12,178,0,129,1,79,27,2,1,0,0,0,11,0,0,1,1,9,280,7,3,6,16,10,7,1,11,2,0,0,1,5,0,1,3,4,3,4,1,0,4,8,5,0,0,0,0,1,1,1,1,3,0,0,2,0,1,3,0,26,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,3,2,0,0,0,0,11
TCGA-21-1078-01,2944,317,429,18,203,14,0,50,1,1,18,721,1,417,21,2,10,0,1,33,0,20,105,22,0,0,217,0,74,0,0,3,46,35,1,0,0,2,0,11,30,2,6,24,12,15,3,11,0,0,11793,7,0,49,8,0,0,68,0,39,15,0,0,0,3,7,0,0,6,1,0,813,0,0,0,0,27,6,0,16424,1,0,1,3,3,8,6,0,1,126,2,0,0,0,5,1,0,0,7,34,4,0,2,9,9,2,11,3,0,0,0,0,2,1124,0,1,1,15,6,0,0,0,1,0,0,80,0,0,0,15,0,0,62474,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,1,0,0,0,3,1,0,0,0,0,1,1,0,0,0,0,0,0,11,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
