Unnamed: 0,CCNB1,ZWINT,PBK,GRHL3,GJB6,CERS3,KPNA2,HOXC13,ATAD2,HOXA10,RHOV,PRKCE,ALDH3B2,TMPRSS11E,SERPINB13,PGLYRP3,HECW2,FAM83C,C10orf99,TGFBR2,A2ML1,TMEM79,PREX2,SPRR2D,IVL,IL36RN,TMPRSS11A,GSDMC,IL36G,SLC1A1,LIMCH1,CNFN,GRHL1,UTRN,TMPRSS11D,TMEM100,SPRR1A,TSKU,GPD1L,CITED2,S100A7A,PTPRM,CLCA4,RECK,AMTN,SPRR2E,SLC7A11,BDH1,LRRK2,FST,NCCRP1,SPRR2G,KRTDAP,ZNF750,FAM84A,MGLL,SUSD4,RPTN,SERPINB3,PAX3,DDAH1,KCNQ5,HOPX,LEFTY2,TBX18,SPRR2F,ENPP4,DUOX1,SERPINB2,AKAP12,LPCAT1,ULBP2,POF1B,SERTM1,PRDM16,SELE,SCGB3A1,PROK2,GREM2,HOXA9,ELAVL2
TCGA-43-2576-01,1145,1263,182,83,107,68,4805,492,895,54,2820,332,3284,1080,3,53,322,1,19,3488,210,201,162,174,2031,918,0,110,22,164,5427,446,1037,2191,17,55,52,3945,883,1826,237,1836,0,397,0,3,194,482,215,329,3889,2,2,297,1430,6816,33,1,15,0,2396,30,4029,7,135,1,491,366,1,557,17733,33,446,4,36,124,682,2,12,18,4
TCGA-43-2578-01,5611,3850,826,172,19,4,17718,335,4817,607,1152,668,1820,50,36,1,643,22,3,4594,33,606,566,3,22,16,0,116,6,366,2104,451,736,7822,2,241,1,9917,1371,2912,0,1215,20,493,3,0,7722,6209,6796,87,141,0,16,287,6518,5016,120,8,237,115,1312,748,3043,33,131,0,1539,2863,4,973,21331,234,2378,3,533,78,7519,2,80,214,5
TCGA-43-2581-01,3207,2728,297,88,3004,1,14460,2,3153,3,123,841,168,2142,4,0,2237,1,2,25467,26,680,83,20,11,248,0,765,42,2120,2247,60,1134,6384,7,13686,6,763,2196,22570,0,3451,2,338,0,30,1094,1127,8475,983,22,9,5,1780,93,17533,85,0,16,0,2776,231,82375,29,13,0,2172,176,6,1111,29171,36,5,0,87,253,249,22,511,6,293
TCGA-43-3394-01,4540,1949,815,1477,6486,5729,16268,233,3452,743,1087,641,38,1268,15994,206,377,1001,242,2497,7854,2464,135,5125,946,245,8230,2614,66,180,1873,220,6001,3328,3504,144,6123,4154,1840,2010,36,650,78,485,36,2076,2488,3584,2347,3381,257,185,81,3297,13879,2788,2409,24,184,17,1846,651,6653,4,931,93,924,3611,253,694,7066,656,6664,11,203,257,692,39,59,50,1
TCGA-43-3920-01,6418,613,1134,1239,4528,613,10791,64,4737,560,1011,546,1440,1658,10797,70,550,105,446,3084,1291,787,847,3685,1154,426,864,353,787,483,720,984,2202,1460,3405,203,11066,4135,920,2185,588,1047,314,701,309,1859,439,1365,454,3025,869,188,359,727,1813,1543,1160,18,4202,44,750,561,7241,7,1238,352,1242,1044,460,2426,4612,759,675,27,15,68,89,77,116,151,2
TCGA-43-5668-01,3032,3590,519,1519,3506,4,30217,61,6865,263,946,1593,2409,212,7,0,1771,3,8,12902,558,2082,104,20,21,26,10,921,4,104,14534,1383,3565,16971,7,21,16,32801,7083,7556,1,1551,9,1033,182,24,733,330,1054,2198,6923,7,17,1642,153,3830,30,0,8,0,8637,125,8755,15,9,0,6024,162,9,7267,82682,42,3223,0,113,139,947,5,2,14,2
TCGA-43-6143-01,7440,10977,1813,4740,211,1556,15867,89,26084,790,2215,3795,4419,150,6622,119,887,1248,1244,4742,2331,2798,251,36,1101,12,53,704,18,230,4037,203,5268,10842,15,181,112,9515,2004,4301,207,2697,17,960,89,22,4417,5274,782,2270,90,7,25,12159,4626,2196,3881,1,5311,45,2679,474,931,14,778,1,1527,7656,422,1712,3329,207,1822,2,74,59,37,1,48,1272,2959
TCGA-43-6647-01,2053,1025,372,665,2003,1128,7694,603,2128,117,528,715,1035,133,473,231,1063,66,591,13843,3473,1031,171,4825,4155,2524,46,1945,1526,1148,1025,218,389,4253,1852,37,1293,17467,532,2511,130,1997,391,825,1528,2150,3490,1441,870,1114,466,993,232,482,4203,2784,275,131,265,3,1605,221,1228,8,508,238,755,3664,108,3268,9640,987,46,0,86,1241,59,6,23,5,229
TCGA-43-6770-01,5617,3224,1222,1971,34850,6940,22579,78,4190,381,4277,1353,1675,2393,20738,611,1265,718,227,6294,5574,1468,269,4560,2669,2212,11569,1765,452,497,4507,839,3782,9379,4083,255,7714,14441,1301,4504,383,1689,134,661,5598,2279,20308,9338,2534,15704,567,568,863,4305,20081,5552,5154,535,765,6,2890,2616,9541,1,636,177,500,6104,2602,2771,10771,757,3949,34,230,86,667,21,233,31,2
TCGA-43-6771-01,4318,2412,661,6864,73109,5867,6952,2,1845,2,11000,849,64712,2549,3550,2670,1518,828,7908,10607,42257,11416,149,45485,35310,10078,114,1262,1954,52,1041,30064,10719,5336,430,19,67525,16689,2185,5644,12144,1429,81,460,12,38611,1042,5134,258,10649,1356,17118,20477,7507,220,8827,778,42,7086,1,469,99,1638,0,47,602,164,16964,1202,1298,9959,1299,1889,0,65,123,3,43,37,1,8
TCGA-43-7656-01,3908,3579,995,67,124,126,10870,416,5513,903,1732,295,2167,1100,1,57,559,30,0,3747,205,466,190,14,40,2,2,102,1,132,850,97,1286,7272,3,61,2,2480,1679,3288,2514,2102,1,600,0,15,1545,4127,382,759,238,12,7,994,2238,1442,1055,0,8,47,2676,550,775,10,18,3,572,1469,4,845,6731,262,19,0,78,92,57,0,12,999,3
TCGA-43-7658-01,7773,8077,1644,1132,66,41,14626,449,9488,1356,1499,505,5653,14,6,31,232,9,1,2187,347,2060,49,4,117,19,10,157,7,1072,3568,327,1137,6897,9,475,8,2908,1203,3577,29,1033,8,461,0,27,171,4552,961,455,310,2,7,821,2456,2018,953,0,23,2,5203,31,1187,11,3,804,2461,3217,1,1782,24177,75,298,3,130,46,221,7,15,505,1384
TCGA-43-8115-01,2064,3812,432,928,3342,185,6858,168,2948,247,689,1155,409,119,3436,92,526,280,151,6496,314,973,213,1158,494,12,149,191,15,313,942,108,2357,4983,76,44,372,3895,862,1701,46,1659,33,1115,1,191,407,4099,777,1523,112,15,20,1286,2958,2024,409,43,860,9,2075,104,1531,1,75,7,996,1876,335,1565,3367,313,697,3,63,194,52,17,64,89,16
TCGA-43-8116-01,2145,2199,581,250,1073,518,5655,7,2325,306,1045,652,3392,13,504,134,198,244,16,1504,460,353,101,18,16,10,218,347,9,97,285,18,484,1809,464,23,13,2821,978,1905,19,583,233,116,2307,4,401,1240,755,131,48,7,1,858,1965,960,2280,0,183,82,832,601,691,2,71,3,571,584,33,273,3097,95,1252,0,38,79,696,10,6,490,40
TCGA-43-8118-01,3725,4217,1275,1582,3677,2516,11851,375,4184,207,2117,710,4453,3170,24225,226,398,1949,487,5110,7710,1339,286,9960,3264,3168,2297,1227,633,454,2542,326,1861,3617,4620,307,9890,3617,1516,2194,10,1521,124,348,5,2902,799,2150,11573,3702,1371,13,137,3490,4986,7840,1742,38,3746,113,1144,452,5143,6,264,207,806,6001,435,621,13524,681,3252,1,334,43,1051,2,26,18,1
TCGA-43-A474-01,4962,2050,1513,960,5186,1338,4804,72,4089,628,5744,675,1081,6386,2124,56,196,2044,213,1690,9294,722,58,1433,882,588,3240,1429,400,250,2607,431,2487,4271,875,3,2441,7007,400,623,180,351,239,312,974,231,21579,1768,46,50782,339,16,205,2764,503,401,4074,36,936,0,241,1337,435,1,1391,141,17,1520,1383,688,6400,634,1617,21,39,14,35,4,17,25,2
TCGA-43-A475-01,2862,3480,1805,566,6736,659,10341,54,5653,224,1962,583,2385,47,5491,24,293,54,375,3642,196,491,143,6,18,7,147,105,12,210,856,76,842,3775,50,40,65,7598,1646,1877,0,1819,28,374,119,6,10972,4949,1458,5404,22,0,0,2009,2906,1537,4575,5,57,12,471,551,851,4,433,0,625,4937,75,674,5378,82,1627,7,44,111,163,7,33,89,0
