Unnamed: 0,CCNB1,ZWINT,PITX1,PBK,GJB3,KPNA2,HOXC13,LYPD3,ATAD2,HOXA10,GJB2,RHCG,PRKCE,KRT6C,SPRR1B,HECW2,TGFBR2,IL20RB,S100A7,PREX2,SPRR2D,SLC1A1,LIMCH1,LY6D,UTRN,TMEM100,SPRR2A,TSKU,GPD1L,CITED2,PTPRM,SPRR3,SBSN,BNC1,RECK,SLC7A11,PROM2,LRRK2,DSC2,CSTA,PAX3,DDAH1,KCNQ5,LEFTY2,TBX18,ENPP4,AKAP12,LPCAT1,ULBP2,FGFBP1,SERTM1,PRDM16,SELE,TMEM45A,PROK2,GREM2,HOXA9,FABP4,ELAVL2,KRT1
TCGA-63-A5MH-01,3317,3052,898,2184,2067,10950,428,3752,3681,443,5347,2800,417,1005,1631,275,1106,4225,2646,43,1359,460,1178,758,1600,3,978,3765,584,2274,421,345,1011,3561,284,773,2438,89,9026,6780,4,969,861,0,888,770,647,7731,901,322,4,14,2994,10064,8,10,106,108,0,44
TCGA-63-A5MI-01,3941,2592,2173,890,673,24620,5,1746,5110,354,7563,444,660,4615,2839,676,2751,1186,47,66,488,702,551,72,2057,33,1351,9191,2078,2247,845,1855,145,3693,98,614,573,2136,4675,7769,17,1984,415,10,168,483,726,3851,125,729,11,76,20,1562,2,8,71,12,0,63
TCGA-63-A5MJ-01,6189,4576,2666,2008,3004,23756,612,72553,7594,335,13362,153,1995,7556,47211,799,2919,460,1155,210,11867,208,410,1,5412,8,11251,7241,1599,2583,1887,2667,3396,1950,1141,10025,359,256,5989,28800,7,457,484,0,500,261,1095,5264,213,22858,194,234,427,1571,3,20,37,13,12,26
TCGA-63-A5ML-01,3022,2553,999,926,360,9661,70,2886,3574,302,794,26,526,487,107,428,2894,85,12,99,13,30,1902,139,4259,189,18,8206,1020,691,1230,40,17,1333,400,10815,4537,826,3601,2789,3,549,112,1,907,489,1002,5068,84,2371,72,511,10,861,0,13,95,5,2,5
TCGA-63-A5MM-01,4759,3860,1969,569,6600,6516,3,2544,2325,7,21390,47,621,1531,1645,605,4652,3656,3299,229,742,59,422,32001,2861,125,439,5106,455,3048,3278,142,892,10,472,1832,18446,536,3996,3040,0,948,442,7,162,236,9288,4461,1207,1315,1,23,1421,1952,10,11,3,3917,29,6
TCGA-63-A5MP-01,5653,6985,3734,1126,5490,13319,497,24398,5382,814,9207,37231,2177,447,9514,1510,6861,66,599,1289,4181,704,3966,104,11135,740,6873,7791,3477,4103,2529,14478,3106,3312,750,7318,3776,5362,17857,57438,0,2879,862,29,1163,1480,1376,10891,1440,3404,269,173,88,1580,16,32,62,70,274,21
TCGA-63-A5MR-01,4755,2666,7464,1378,6450,8712,577,19127,4498,192,32418,51852,507,3835,18190,127,2404,15979,4862,29,20060,124,451,781,1389,32,19160,6732,381,649,729,13243,6826,9992,221,239,17821,478,8328,19100,7,131,191,1,945,153,372,4437,770,6441,1,29,76,2494,2,14,22,3636,35,4
TCGA-63-A5MS-01,527,284,524,67,399,1153,70,1240,624,62,2016,102,280,804,791,178,2219,177,12,97,205,139,746,6,1598,44,388,572,266,1199,808,352,30,310,158,88,518,1600,678,542,7,378,207,6,258,233,875,2363,275,394,0,87,2,331,1,19,40,50,13,22
TCGA-63-A5MT-01,1178,1244,149,273,2593,2786,27,2307,2109,135,2892,73,309,105,68,190,1683,683,96,83,68,139,904,1104,1407,32,29,4357,639,1222,574,18,53,727,198,182,4093,307,662,5136,5,1342,137,0,785,114,844,1521,1273,1510,0,27,281,1909,2,4,41,32,0,3
TCGA-63-A5MU-01,2567,2652,5804,1167,2619,6076,37,11471,4456,183,10854,1572,1060,3661,37013,235,357,1997,125,65,4038,890,118,1098,896,3,13209,6496,1582,1237,258,5333,4024,3564,299,19985,348,35,19965,7371,98,411,32,0,1444,70,128,2219,140,6357,0,59,68,115,7,6,21,30,33,791
