Unnamed: 0,hsa-mir-210,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-891a,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-77-8139-01,4283,39720,55636,125,177,34,20,67087,538,27,2,0,0,1,0,0,0,0
TCGA-77-8140-01,3062,51873,30437,84,1,87,24,39081,2718,20,4,0,0,0,0,0,0,0
TCGA-77-8143-01,3985,33834,21084,22,31,60,2,24100,639,4,27,0,0,0,0,0,0,0
TCGA-77-8144-01,3235,28858,3652,12,270,15,2,6220,607,6,3,2,0,0,0,0,0,0
TCGA-77-8145-01,19498,97861,29619,97,83,356,9,40567,846,32,641,9,1,6,0,0,0,0
TCGA-77-8146-01,6628,53951,90458,178,447,460,3,178476,2223,4,7,3,2,0,0,1,0,0
TCGA-77-8148-01,10415,66969,67234,155,32,111,16,109031,453,36,5,3,1,84,0,0,0,0
TCGA-77-8150-01,2776,52899,36211,253,10,1181,7,76391,1167,21,0,0,0,0,0,0,0,0
TCGA-77-8153-01,10070,69209,108230,216,47,137,39,121013,857,16,22,2,0,0,0,0,0,0
TCGA-77-8154-01,4008,74484,28462,71,20,43,8,40900,887,20,0,0,0,0,0,0,0,0
TCGA-77-A5FZ-01,1998,1565,7849,33,3,960,1,28757,17354,33,5,5,0,0,3,1,0,0
TCGA-77-A5G1-01,6175,25219,45679,94,240,1221,13,148751,8390,76,27,8,0,0,3,0,0,1
TCGA-77-A5G3-01,19525,98145,157521,422,62,196,150,574283,2098,46,65,3,0,0,0,0,0,0
TCGA-77-A5G6-01,4841,62496,39437,107,0,208,17,131437,1657,55,5,12,1,3,0,1,0,0
TCGA-77-A5G7-01,3914,36747,31281,125,16,340,13,123584,4182,8,0,1,1,0,1,1,0,0
TCGA-77-A5G8-01,6284,130023,30646,196,287,237,7,127366,1838,29,117,27,0,1,0,0,0,0
TCGA-77-A5GA-01,2111,46465,43360,158,26,242,5,144763,3106,9,26,3,3,0,0,1,0,0
TCGA-77-A5GB-01,6088,50653,11123,56,443,78,1,48292,3645,29,16,23,7,0,0,0,0,0
TCGA-77-A5GF-01,4626,71187,170622,400,84,545,13,464885,2817,23,65,1,2,1,0,7,1,0
TCGA-77-A5GH-01,5747,69813,93157,284,7,205,9,333830,1820,20,5,1,1,11,5,0,1,0
TCGA-85-6175-01,1523,16817,29293,28,71,215,2,85877,757,18,15,1,0,0,2,0,0,0
TCGA-85-6560-01,1524,510,28657,13,0,220,4,33744,351,6,2,34,0,3,274,0,0,25
TCGA-85-6798-01,31991,228894,227479,443,208,347,122,274505,1232,101,1323,13,2,7,2,54,0,1
TCGA-85-7696-01,11382,97057,30150,97,159,105,2,64813,850,22,2187,0,2,16,5,1,0,0
TCGA-85-7697-01,7613,64044,23126,51,444,106,24,33404,2465,24,241,5,6,3,4,0,0,0
TCGA-85-7698-01,10617,64291,39131,99,275,370,8,66206,1041,18,42,1,0,0,0,0,0,0
TCGA-85-7699-01,3403,28508,37205,90,59,33,16,66492,727,15,12,2,0,32,0,0,1,0
TCGA-85-7710-01,45075,56019,17953,47,187,54,2,34621,506,5,6,4,0,0,0,0,0,0
TCGA-85-7843-01,7863,42107,33244,55,117,92,4,31757,1148,6,40,3,0,3,4,0,1,1
TCGA-85-7844-01,19960,118746,82556,203,182,2425,22,165753,2863,40,4723,70,1,29,2,8,0,2
TCGA-85-7950-01,15832,56444,53978,160,67,73,37,137119,1134,113,148,8,1,2,0,5,496,0
TCGA-85-8052-01,19626,97036,49513,116,145,123,13,69061,1531,33,31,5,0,28,0,1,1,1
TCGA-85-8070-01,29256,245633,155453,814,133,737,28,415587,456,11,2,0,0,0,0,1,1,0
TCGA-85-8071-01,32592,102554,111386,182,294,131,15,132814,551,51,28,6,0,0,4,1,0,0
TCGA-85-8276-01,4567,10332,14684,23,8,137,5,14765,284,19,2,0,3,0,0,0,0,0
TCGA-85-8288-01,7405,57955,26962,69,32,164,20,34972,617,16,3,3,0,1,0,0,45,0
TCGA-85-8350-01,10105,37850,28569,76,128,1167,8,62156,2597,50,6,4,1,8,0,1,1,10
TCGA-85-8479-01,6746,63598,30464,43,123,62,5,63515,857,7,12,0,0,0,0,0,0,0
TCGA-85-8481-01,5151,47948,47296,49,283,1209,10,71087,1604,22,3,28,0,0,1,0,0,0
TCGA-85-8584-01,4995,2476,23804,59,8,868,5,48308,3146,38,11,0,0,0,0,0,0,0
TCGA-85-A4CL-01,6559,83728,43983,232,8,73,3,110424,891,65,139,7,0,5,1,0,1,0
TCGA-85-A4CN-01,4632,53971,69139,176,16,32,7,114060,622,32,76,0,0,0,0,3,0,0
TCGA-85-A4JB-01,8197,49729,84202,250,327,959,42,128286,2334,97,7,3,0,0,0,0,1,2
TCGA-85-A4JC-01,8975,119829,35541,124,393,132,15,80516,9718,40,46,65,0,0,0,0,0,0
TCGA-85-A4PA-01,1327,703,3925,21,16,2878,8,14229,4120,21,6,0,0,1,0,1,0,1
TCGA-85-A4QQ-01,3437,94381,19618,60,802,182,4,40703,2226,3,73,12,0,0,0,3,0,0
TCGA-85-A4QR-01,8332,99393,129729,455,54,544,48,201096,1063,90,3,3,0,0,0,2,0,0
TCGA-85-A50M-01,8265,39324,58153,265,452,1344,4,168893,2286,99,6,222,7,0,0,0,0,0
TCGA-85-A50Z-01,7429,74255,60266,203,495,122,12,96611,4072,42,0,31,2,0,0,0,0,0
TCGA-85-A510-01,8974,3280,40515,126,1,2769,45,75099,2327,91,615,27,1,0,1,0,1,0
TCGA-85-A511-01,8126,46958,35249,95,70,69,7,66716,2096,49,7,4,0,0,0,0,0,0
TCGA-85-A512-01,8178,40978,65611,211,152,179,12,177518,1157,26,5,2,1,0,0,1,0,0
TCGA-85-A513-01,1507,597,15905,54,12,1119,5,44371,11613,15,7,110,5,1,1,0,1,0
TCGA-85-A53L-01,15553,74251,40930,113,33,258,16,73917,5137,28,8,139,1,0,0,0,1,0
TCGA-85-A5B5-01,6802,56025,80608,354,15,21,11,235140,689,13,295,15,0,3,0,1,1,0
TCGA-90-6837-01,1115,31,13097,14,2,3454,3,34760,22283,29,1,0,22,0,3,0,9,0
TCGA-90-7767-01,14963,160469,64283,120,43,831,41,90440,492,20,119,3,3,101,5,0,6,0
TCGA-90-7769-01,5488,60149,60575,148,52,232,15,86166,400,7,100,1,1,0,0,2,0,0
TCGA-90-A4ED-01,12679,97562,148374,881,22,752,7,588398,706,15,1,5,2,0,0,4,0,0
TCGA-90-A4EE-01,7048,29600,52477,132,2,198,4,95655,1332,49,275,1,0,2,1,1,9,0
TCGA-90-A59Q-01,3424,25714,9451,39,74,22,3,30755,6145,25,2,0,0,0,0,0,0,0
TCGA-92-8063-01,6439,34061,49410,89,191,102,5,66275,994,31,6,89,0,0,1,0,0,1
TCGA-92-8064-01,17263,20655,42064,73,258,219,11,61054,525,24,6,0,1,0,0,0,0,0
TCGA-92-8065-01,1143,25852,12755,18,506,93,0,21906,587,14,35,0,0,0,0,0,0,0
TCGA-94-7033-01,11558,25498,28533,85,1412,255,18,38885,1670,38,13,1,0,0,0,0,0,2
TCGA-94-7557-01,10843,79021,20551,49,1,162,8,33820,1307,26,18,0,0,0,0,1,0,0
TCGA-94-7943-01,7122,27542,89387,204,1,1008,20,181078,2257,32,8,0,4,0,0,0,0,0
TCGA-94-8035-01,12861,139757,54241,68,210,248,20,58937,2345,7,1347,8,0,0,0,0,0,1
TCGA-94-8490-01,6614,58874,45179,81,7,423,8,63646,1651,5,58,0,0,1,0,0,0,0
TCGA-94-8491-01,884,88905,49456,118,23,751,6,94849,3062,23,7,0,16,1,5,0,0,0
TCGA-94-A4VJ-01,11057,149142,14806,38,2530,282,21,29925,2507,64,9,6,0,0,0,0,0,0
TCGA-94-A5I4-01,17820,74114,89567,384,37,244,18,285345,2831,66,3,0,0,0,0,1,0,1
TCGA-94-A5I6-01,7889,46817,129407,176,52,271,19,284483,2832,48,447,6,0,9,0,57,1,9
TCGA-96-7544-01,7322,66074,48508,97,36,378,12,70486,975,23,69,0,0,1,2,0,1,0
TCGA-96-8169-01,784,24362,19706,25,78,159,7,31633,514,14,15,23,1,0,0,0,0,0
TCGA-96-8170-01,1641,20425,9181,32,3,85,4,17076,443,6,4,1,1,0,0,0,0,0
TCGA-96-A4JK-01,10180,56180,50485,146,5,335,5,115141,3389,23,3,0,0,1,0,0,1,0
TCGA-96-A4JL-01,1838,118058,140230,673,42,1382,5,503020,4661,63,660,0,0,11,3,0,0,0
TCGA-98-7454-01,2241,10569,9413,16,316,285,2,15886,3421,10,2,0,0,0,0,0,0,0
TCGA-98-8022-01,2572,57689,38702,125,168,405,5,93788,2788,23,3,1,1,1,1,0,0,13
TCGA-98-8023-01,3733,54158,20405,91,10,144,4,41430,879,8,46,3,0,0,1,0,0,0
TCGA-98-A538-01,22909,27899,29082,103,273,26,6,38763,1068,41,2,5,1,0,0,0,0,0
TCGA-98-A539-01,12019,42177,48952,225,128,834,12,106289,4390,25,5,0,0,0,0,1,0,0
TCGA-98-A53A-01,4092,102662,12761,46,53,31,12,21688,1262,8,179,0,1,6,0,2,0,0
TCGA-98-A53B-01,7790,73162,78140,179,2,467,12,141298,2137,63,11,0,2,0,0,0,2,0
TCGA-98-A53C-01,1476,2644,12015,39,12,2729,4,33072,14129,18,3,0,4,0,0,0,0,0
TCGA-98-A53D-01,1103,445,6449,38,7,1407,3,18229,10344,33,2,1,7,0,0,0,0,0
TCGA-98-A53H-01,809,9002,10858,70,41,2164,3,31550,8415,33,202,3,0,2,1,0,2,0
TCGA-98-A53I-01,3607,42045,59327,256,32,277,3,168677,2763,19,91,0,1,0,1,2,0,0
TCGA-98-A53J-01,12921,128619,35580,210,91,394,2,104329,1736,24,44,17,0,0,3,1,0,0
TCGA-J1-A4AH-01,13900,96607,112481,405,69,460,25,190550,3228,34,1148,2,0,377,3,4,1,7
TCGA-L3-A4E7-01,16703,79438,48338,213,1573,176,9,119584,6050,57,3,0,0,0,0,2,0,0
TCGA-L3-A524-01,10379,62977,114337,345,3,179,64,192699,2734,30,276,2,477,2,0,0,0,0
