Unnamed: 0,MIR205HG,DLX6-AS1,LINC01572,LINC00491,POU6F2-AS2,ADAMTS9-AS2,LINC02156,CASC8,AC011374.1,ADAMTS9-AS1,AL513123.1,SOX21-AS1,LINC02253,PVT1,SFTA1P,LINC00393,LINC00887,AL355388.1,LINC00355,SOX2-OT,AC105206.1,AL139385.1,AC078778.1,LINC00392,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,LSAMP-AS1,C10orf91,MED4-AS1,LINC00520,AC093510.2,MIR130B,LINC01836,AC006238.1,HOTTIP,PART1,LINC02323,LINC00470,BCRP3,UCA1,AC005863.1,LINC01705,LINC02178,LINC00337,MIR31HG,MIR137HG,AL391361.3,AL163952.1,LINC00462,LINC00472,LINC00163,LINC00461,AP002478.1,AC093904.4,KCNH1-IT1,LINP1,GDNF-AS1,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,LINC02289,AL590666.2,MUC2,LINC00173,AC061975.6,MLIP-IT1,AC012640.1,AC073352.1,AC025211.1,MYO16-AS1,LINC00707,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,AC090192.2,LINC02081,AL121772.1,LINC00518,LINC00184,LINC00211,STEAP2-AS1,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC009275.1,AC006305.1,MIAT,CCDC26,AL021807.1,LINC01269,HCG21,AL021395.1,AL357518.1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,FLJ16779,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,SRGAP3-AS2,AC004704.1,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AL354766.2,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-66-2766-01,4258,511,164,621,38,71,56,521,240,4,34,448,20,1197,19,1,86,0,0,912,0,371,40,1,930,29,9,139,3,53,3,22,0,29,2,2,12,31,138,149,2,16,6,23,2,117,44,13,0,191,0,46,1,13,38,1,3,11,0,1,40,2,0,73,47,120,13,118,1,36,64,1,5,10,12,0,2,1,531,86,1,0,2,125,11,5,50,0,2,4,1,24,2,11,342,1,179,8,10,1,0,1,0,1,3,0,12,1,1,20,1,0,1,0,0,1,0,12,2,0,25,0,1,0,0,271,0,0,1,3,5,0,6,6,1,3,0,0,1,1,0,0,0,2,36,5,0,1,53,3,2,21,0,1,0,20,4,81,4,0,1,0,0,8,3,0,0,3,1,0,0,0,0,0,0,0,2,0,0,0,0,21,1,1,0,1,0,6,5,0,6,0,0,0,0,0,0,0,0,1,0,0,0,4
TCGA-66-2767-01,1658,249,54,153,106,21,76,51,375,15,13,925,6,900,409,57,28,7,5,639,7,108,50,3317,608,55,3,46,25,21,1,47,6,11,43,7,8,88,24,17,10,33,0,24,1,6,13,0,3,110,17,289,2,2,11,5,0,4,69,3,194,12,30,55,11,23,76,6,0,389,0,29,4,10,5,8,20,1,98,16,4,1,6,68,56,0,22,2,12,24,7,18,138,59,12,3,1899,90,24,42,0,0,0,9,6,0,7,17,6,46,3,1,14,0,5,12,0,31,0,2,2,9,13,2,40,1256,7,5,7,33,4,16,1,4,3,5,8,1,1,6,24,0,11,5,39,1,1,5,1,3,2,12,0,2,3,9,1,5,0,0,1,1,0,1,3,4,6,0,0,0,0,0,1,1,0,4,3,1,0,0,1,0,0,0,1,0,3,0,1,1,1,0,1,0,0,0,0,0,1,3,0,7,0,0
TCGA-66-2768-01,5805,103,43,229,59,18,121,192,159,4,73,92,24,762,72,2,100,3,1,144,0,69,21,8,250,167,1,63,6,59,0,341,1,14,16,0,20,9,104,549,0,791,42,12,71,136,1288,66,7,33,2,355,0,4,19,11,0,372,2,5,112,0,7,22,21,25,10,57,17,42,10,16,6,1,5,2,193,19,27,9,4,0,32,511,101,17,83,13,0,22,6,373,0,37,241,1,149,210,23,32,0,0,0,0,2,0,1,3,36,2,8,0,4,0,3,706,0,30,0,0,0,10,2,0,15,88,1,2,1,14,1,2,0,1,0,4,12,0,62,1,0,2,12,0,9,69,1,0,25,3,12,13,0,4,0,17,54,4,0,0,4,1,0,1,3,38,77,0,5,1,0,0,0,8,0,1,0,1,0,3,2,3,0,0,2,0,0,1,30,2,0,0,0,0,1,0,0,4,0,2,8,8,0,0
TCGA-66-2770-01,5437,694,61,344,98,27,37,97,253,13,33,468,0,1675,136,8,37,3,1,335,5,190,40,1,1227,13,7,58,33,67,2,28,4,14,28,10,8,56,5,433,13,44,1,65,4,16,68,2,0,5,4,114,0,5,8,17,3,81,143,14,480,4,5,25,26,60,11,355,14,179,0,40,10,13,4,0,24,0,393,7,2,1,34,22,74,1,22,0,3,7,24,73,58,36,32,9,1308,31,106,9,0,0,0,1,16,0,5,64,5,11,6,1,5,1,2,8,0,28,0,1,1,44,2,0,1,165,1,2,1,43,2,0,6,2,1,0,6,3,0,1,33,1,2,0,17,2,5,4,6,2,2,5,0,1,2,20,0,3,10,1,1,0,3,3,2,0,4,0,0,1,0,3,8,1,0,1,17,0,2,0,0,1,1,1,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TCGA-66-2771-01,4607,1,34,157,147,20,22,55,246,14,36,423,29,485,534,102,31,1,52,90,0,16,40,1701,350,3,2,6,33,19,3,35,0,4,46,2,0,354,39,84,0,4,1,28,10,130,1,1,4,99,3,29,1,12,2,3,1,10,1,2,173,5,0,6,0,22,28,6,2,19,30,8,6,6,5,2,2,4,54,36,7,1,4,26,4,2,0,5,5,16,4,105,103,4,9,1,376,5,12,33,0,44,1,0,1,0,1,2,0,35,0,0,1,0,0,1,0,53,0,2,0,5,5,0,8,443,2,1,9,19,1,2,4,1,0,3,0,0,6,0,293,0,0,9,110,1,4,7,7,0,7,1,0,3,1,3,1,39,2,1,0,0,0,7,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,6,1,0,0,0,3,0,7,0,0,0,0,0,0,0,0,1,2,1,0,0,0
TCGA-66-2777-01,1071,80,21,37,14,12,37,105,241,8,4,453,4,572,394,5,57,0,7,2113,0,99,7,0,425,9,0,0,8,51,2,39,2,9,26,2,0,51,42,87,5,49,27,32,5,86,6,19,1,29,8,101,1,10,136,52,5,9,1,1,77,3,0,6,5,90,12,155,2,35,40,3,1,4,1,2,4,0,152,11,39,0,4,63,125,6,30,5,0,21,1,37,259,35,11,1,1174,9,23,58,0,0,0,1,20,0,0,18,1,1,3,0,2,2,0,8,0,62,3,1,1,144,1,0,0,282,1,6,5,29,14,0,0,0,1,1,6,0,0,0,63,202,2,1,13,0,10,1,8,2,27,2,0,2,0,2,1,19,2,0,0,0,13,4,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,1,3,0,0,1,1,1,0,1,0,0,2,0,0,0,1,0,0,1,7,0,1,0,0,0
TCGA-66-2780-01,2818,57,72,186,148,40,71,61,150,10,25,182,131,1147,32,7,85,0,0,57,1,57,21,2,652,20,1,20,10,44,1,19,0,9,110,5,8,5,46,0,0,102,10,53,9,51,12,558,0,8,2,193,3,0,9,7,0,36,55,6,54,2,4,12,0,6,34,54,35,7,0,10,3,5,6,0,10,1,55,18,2,0,142,71,34,0,8,5,10,0,2,418,10,50,44,1,490,14,11,14,0,2,0,0,3,0,1,12,0,0,2,0,4,0,2,84,0,50,0,0,5,9,0,0,163,123,0,0,5,2,3,0,0,1,0,0,0,0,1,3,0,0,0,1,2,0,6,0,0,1,223,0,0,7,0,0,1,4,1,2,3,0,5,3,5,0,2,0,25,0,0,12,0,6,0,2,0,4,0,1,0,0,0,1,1,1,0,0,0,0,0,0,7,0,0,0,0,0,14,0,0,0,1,0
TCGA-66-2781-01,10764,318,84,148,153,13,72,485,391,11,0,533,50,712,73,1493,100,0,248,515,1,35,37,532,651,34,2,58,16,63,1,64,2,14,104,5,16,182,34,210,2,4,69,21,2,50,6,10,7,278,28,74,2,6,337,15,1,18,31,13,188,0,0,41,13,132,114,16,12,24,31,2,6,10,30,8,13,16,201,41,201,1,234,144,68,6,6,6,14,2,2,97,3,3,201,14,493,3,34,22,0,1,0,0,3,0,3,20,0,9,1,0,3,0,0,60,1,99,0,1,13,0,76,0,10,4221,0,1,1,2,10,0,1,1,0,1,13,1,1,0,5,1,0,1,62,17,2,2,8,1,104,4,0,4,0,7,2,14,3,0,0,1,1,0,5,11,0,12,0,1,0,1,0,10,0,2,1,5,3,0,0,4,0,0,7,2,0,2,1,3,0,0,0,0,0,0,0,0,18,1,29,0,0,13
TCGA-66-2782-01,16961,17,71,326,5,19,164,104,658,36,8,300,405,3623,73,0,45,1,8,49,1,82,47,1,735,12,2,0,19,143,1,11,0,10,79,2,1,1,126,0,7,1,0,34,2,99,1412,184,8,0,4,62,1,0,1,44,0,47,29,0,240,5,1,0,1,9,32,79,88,40,0,14,5,4,8,0,7,5,26,9,6,0,401,140,39,0,20,4,13,0,5,423,29,55,227,2,741,46,21,12,0,1,1,1,14,0,6,7,0,66,9,1,3,0,0,256,0,50,0,2,1,24,6,1,0,6049,0,3,2,5,0,1,8,0,0,4,0,1,4,3,8,0,0,3,3,0,4,5,0,2,265,0,0,1,2,0,0,40,2,3,0,0,3,3,0,0,0,0,11,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,1,0,1,0,0,0,0,5,1,0,0,0,0,0,1,1,1,0,0
TCGA-66-2783-01,3055,319,29,385,40,9,38,46,326,2,10,367,230,452,30,5,30,1,13,376,0,113,15,0,180,129,0,0,7,57,0,79,0,4,11,1,0,654,3,98,0,11,8,0,4,10,8,9,7,0,45,18,0,7,1,5,6,127,33,1,85,1,40,3,1,33,8,388,3,35,0,18,1,2,0,0,10,6,184,3,0,0,0,16,8,0,6,2,0,1,6,12,31,17,39,6,257,9,33,18,0,0,0,0,75,0,0,0,0,15,1,0,0,0,1,3,0,8,4,2,1,223,2,0,0,64,0,1,1,10,2,4,1,1,0,0,2,0,1,0,1,1,0,3,3,1,1,1,1,0,17,0,0,0,0,0,0,18,0,0,0,1,2,3,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,2,3,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
TCGA-66-2785-01,2517,19,56,141,138,4,10,93,6,5,27,1,130,1918,26,612,85,0,148,18,0,123,25,8,239,0,10,273,31,51,4,7,0,9,160,4,2,1,159,2,3,213,33,33,12,21,0,1,114,11,2,464,0,0,1,82,0,8,3,35,324,6,2,44,3,13,177,10,1657,84,66,2,2,10,2,2,8,34,21,0,135,0,3,67,19,2,26,2,9,62,6,150,17,21,100,1,992,11,46,32,0,1,1,0,5,0,12,22,0,2,3,0,2,0,0,12,0,49,0,1,1,7,58,0,0,24028,0,2,179,5,0,15,3,2,0,0,0,0,31,0,6,32,0,0,6,14,5,1,23,1,0,1,0,0,0,0,0,7,0,0,1,4,1,0,0,2,0,0,1,11,1,1,1,1,0,1,0,4,4,0,9,0,0,0,0,0,1,0,0,0,1,0,0,2,0,0,0,0,6,345,1,24,0,0
TCGA-66-2786-01,1750,179,47,15,122,19,66,81,21,12,87,642,270,1221,656,22,38,5,1,163,3,70,24,2,374,28,1,17,7,159,2,9,4,9,76,6,72,7,31,45,14,29,2,7,100,57,44,50,0,1,0,288,2,0,10,18,3,123,251,0,624,4,0,3,2,7,71,98,14935,36,0,0,2,6,0,35,155,0,36,87,3,0,164,24,51,0,84,2,0,8,8,25,244,20,18,2,391,17,124,11,0,2,0,6,11,0,2,22,2,4,2,0,9,0,0,5,2,17,6,0,15,126,0,1,1,36631,5,5,29,100,3,1,4,0,0,0,0,2,1,0,47,1,0,6,6,3,6,2,2,0,399,2,1,8,0,0,1,26,2,3,0,2,0,6,1,37,0,3,0,3,1,0,0,7,2,0,1,4,0,1,2,0,0,0,0,0,0,1,0,1,0,0,9,1,1,0,1,0,0,0,0,1,0,0
TCGA-66-2787-01,2422,519,39,2,19,14,18,18,112,11,50,653,0,468,60,2,1,0,88,4190,1,23,61,1,463,7,0,4,2,43,1,29,1,5,6,3,6,4,3,341,2,39,0,11,1,11,6,0,0,3,7,229,0,2,76,1,2,2,3,3,45,8,0,32,2,56,47,83,2,48,6,7,2,13,3,5,8,1,406,5,38,3,0,15,30,1,0,1,2,0,5,55,6,2,18,5,7879,8,28,7,0,0,0,0,0,0,5,2,41,3,0,0,1,1,1,6,0,22,0,0,2,0,8,4,1,212,0,1,1,4,5,1,2,0,0,0,1,0,0,0,0,336,7,2,11,1,2,0,0,2,1,3,0,1,0,1,0,1,0,1,0,5,1,0,2,0,1,1,0,1,0,0,1,0,1,0,1,2,4,0,0,8,0,2,2,3,0,0,0,0,3,0,0,1,0,0,0,0,9,0,0,0,0,2
TCGA-66-2788-01,3152,91,43,150,30,14,14,78,79,13,3,443,52,1100,40,36,117,1,61,216,0,89,24,2,789,8,0,3,24,20,0,81,2,2,9,1,5,142,33,170,0,51,22,159,33,30,591,147,8,11,31,48,5,14,16,27,15,34,48,5,94,4,3,2,0,13,14,23,5,37,3,3,1,4,1,6,36,33,141,31,5,0,20,86,27,10,11,4,8,13,0,365,12,55,33,0,583,13,23,66,0,5,1,32,51,0,0,18,0,6,0,0,1,0,1,164,0,78,5,0,4,295,177,0,0,82,0,0,2,1,2,1,0,0,1,2,1,0,23,4,0,0,3,16,34,11,4,1,1,2,199,2,2,1,0,4,4,28,14,1,1,0,6,6,2,0,3,4,10,6,1,1,0,1,1,2,0,1,0,0,4,0,0,2,2,0,1,2,3,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0
