,MIR205HG,LANCL1-AS1,DLX6-AS1,LINC00491,AP000866.2,POU6F2-AS2,AC027288.3,ADAMTS9-AS2,LINC00968,AC011374.1,ADAMTS9-AS1,NAGPA-AS1,AL513123.1,SOX21-AS1,PVT1,SFTA1P,LINC00393,AL355388.1,LINC00355,AL358334.2,SOX2-OT,AC105206.1,RBPMS-AS1,AL139385.1,AC078778.1,AL512662.2,LINC00392,AL162511.1,MAGI2-AS3,NAALADL2-AS2,AP000438.1,HOTAIR,AC008268.1,VIPR1-AS1,LSAMP-AS1,C10orf91,MED4-AS1,LINC00520,AC093510.2,MIR130B,AC006238.1,HOTTIP,LINC02555,PART1,LINC00470,AL033519.3,BCRP3,UCA1,AL157895.1,LINC01705,AP000357.2,LINC00337,MIR31HG,MIR137HG,AL163952.1,LINC00462,LINC00472,LINC02489,LINC00163,LINC00461,AP002478.1,KCNH1-IT1,GDNF-AS1,AC079467.1,LINC00536,C1orf132,C5orf64,IL20RB-AS1,AP000525.1,LINC00466,AC078802.1,AC087612.1,MUC2,LINC00173,AC061975.6,LINC02544,MLIP-IT1,AC012640.1,LINC02471,AC073352.1,AC025211.1,MYO16-AS1,NOVA1-AS1,WNT5A-AS1,RBMS3-AS3,ERVMER61-1,AC135178.1,AC062015.1,LINC00518,LINC00184,LINC00211,STEAP2-AS1,WASIR2,AC097717.1,LINC00504,LINC00261,STEAP3-AS1,AC006305.1,MIAT,CCDC26,LINC01269,HCG21,AL021395.1,AL357518.1,SSTR5-AS1,RMST,AC004832.1,PRICKLE2-AS1,AP000553.1,LINC01671,AL161908.1,LINC00534,C20orf166-AS1,PRICKLE2-AS2,MYCNOS,PLCH1-AS1,POU6F2-AS1,LINC00460,AC025431.1,LINC00525,HHATL-AS1,KCNQ1-AS1,GRM5-AS1,AL122019.1,SRGAP3-AS2,LINC01612,FAM138B,LINC00051,H19,NAV2-AS2,AP003064.2,AC092811.1,NKX2-1-AS1,LINC00501,TDRG1,CHODL-AS1,LINC00492,AL139819.1,TBL1XR1-AS1,LINC00319,ATP11A-AS1,AC080129.1,KCNQ5-AS1,ATP13A4-AS1,LINC00221,LINC01160,AC011483.1,LINC00443,AC128709.1,ADARB2-AS1,AC112721.1,LINC00469,AC006372.1,RRM1-AS1,AC022762.1,CNTN4-AS1,TLR8-AS1,KIAA0087,AC069281.1,LINC00237,FAM181A-AS1,FNDC1-IT1,KIRREL3-AS1,AC100791.1,LNX1-AS1,AL161645.1,AC007207.2,CHL1-AS1,PLCH1-AS2,AL136131.2,ANO1-AS2,AC092422.1,C11orf44,LINC00303,GRM7-AS3,AC079070.1,LINC00488,LINC00524,LINC00113,LINC00485,AL772363.1,C7orf65,LINC00308,LINC00052,AL356310.1,C8orf49,IGSF11-AS1,C12orf77,NRG1-IT1,LINC00276,AC096637.1,AL356056.1,KCNAB1-AS2,AL033381.1,AC012050.1,LINC00404,CLDN10-AS1,NAV2-AS5,LINC00320,KIRREL3-AS3,LINC00354,GPR50-AS1,AC068756.1,C17orf77,AC112518.1,AL139002.1,CLYBL-AS1,LINC00458
TCGA-18-3419-01,2716,7,70,340,9,38,3,8,1,561,3,3,14,4,407,10,98,0,212,2,55,0,27,129,11,0,4,0,84,1,1,30,0,6,18,75,0,10,2,21,2,0,14,552,244,4,1,5,0,4,2,171,0,5,107,3,2,1,0,3,1,0,0,0,0,35,0,0,12,32,15,0,21,11,258,3,1,2,1,7,8,0,16,145,2,5,0,0,1,0,1,8,18,2,1323,1,2,0,296,9,37,0,13,0,50,0,6,0,7,26,1,96,0,0,10,1,0,1,0,13,0,1,0,33,1,0,0,0,2726,0,0,0,0,0,3,0,3,0,6,10,0,0,0,2,0,6,0,1,10,1,1,15,68,2,13,0,0,0,0,0,6,0,2,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,2,0,0,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,1,0,0,0
TCGA-18-3421-01,3886,5,283,184,8,75,9,15,9,106,6,7,0,111,1485,293,8,8,0,12,471,1,90,20,25,5,1,6,178,13,0,0,0,8,10,58,0,5,1,6,0,9,24,467,0,6,0,2,58,16,5,45,999,44,2,79,44,8,0,13,1,3,147,10,0,24,1,4,0,1,27,0,9,20,0,6,13,2,41,11,17,2,0,18,7,1,0,0,6,0,1,8,94,7,59,63,15,0,129,1,54,0,100,0,2,0,8,0,0,23,3,2,1,0,8,1,0,18,12,2,0,1,0,2,40,0,0,0,32,0,4,1,9,0,2,4,0,0,0,0,2,0,0,11,0,3,0,0,44,0,1,0,0,0,0,0,0,0,0,0,7,2,0,0,1,4,8,6,0,0,0,0,0,0,1,0,0,7,0,0,0,0,1,0,3,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
TCGA-18-4086-01,6079,6,368,44,9,81,25,16,36,113,7,1,51,425,1201,26,71,0,7,12,1188,0,30,208,30,2,59,1,466,15,0,0,0,9,11,113,1,26,0,3,1,2,9,349,4,1,1,17,26,30,2,13,7,1,15,3,56,1,2,12,16,50,113,1,6,28,0,3,3,0,60,1,4,253,0,16,5,2,2,5,5,1,1,407,4,1,0,13,2,4,1,4,6,5,34,8,93,0,1370,39,15,0,13,0,3,0,2,0,1,10,0,13,2,1,3,0,0,5,0,47,0,0,5,1,4,1,0,8,231,1,0,7,3,4,4,4,0,1,4,2,0,0,1,6,0,12,0,2,31,5,0,1,0,0,1,0,1,2,2,0,1,3,1,0,1,8,4,0,0,0,1,3,2,8,1,0,0,1,1,0,0,0,0,0,0,0,7,2,3,0,1,0,0,2,0,0,0,0,0,3,0,0,0,0,1,1,0,2
TCGA-18-4721-01,824,5,291,81,0,54,4,7,19,59,7,0,46,162,409,8,12,0,0,10,2944,0,6,73,6,0,0,1,140,14,0,0,0,2,30,1,0,4,0,4,0,3,2,17,23,0,0,1,15,3,0,13,8,17,0,7,42,0,0,0,10,1,1,0,1,15,2,0,4,6,13,0,3,21,0,8,2,0,0,3,5,3,28,119,11,4,0,21,0,2,0,1,1,0,92,5,2,0,97,17,0,0,14,0,0,0,0,0,1,5,3,17,0,0,0,0,0,1,0,20,0,0,0,0,0,0,0,0,38,0,0,0,9,3,0,0,0,0,1,1,0,2,2,0,0,1,0,3,1,1,3,1,0,0,0,0,0,0,1,0,0,0,0,3,0,2,0,3,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,0,0,5,1,1,0,0,0,0,0,0,3,0,0,0,2,0,0,0,0,1,0,0,0,1
TCGA-18-5592-01,7229,4,540,171,5,225,5,0,1,572,2,0,55,483,1028,8,4,1,95,80,214,0,22,54,19,2,2,3,131,1,1,60,0,5,9,150,0,54,1,3,2,63,0,42,184,1,3,173,6,13,0,13,0,0,16,4,90,0,0,1,4,6,8,0,9,161,1,8,0,4,25,0,4,66,0,3,9,6,1,2,7,15,0,322,56,2,1,2,0,55,1,2,3,4,10,3,23,2,272,2,10,0,0,0,32,0,3,0,2,16,6,8,0,0,2,0,2,19,0,7,0,0,2,0,7,1,0,0,376,0,1,4,3,0,0,24,0,0,0,3,0,0,3,1,0,19,3,7,0,0,2,1,0,0,0,1,0,0,9,1,1,0,0,0,1,0,0,0,0,0,4,2,1,0,0,0,0,0,1,0,0,2,0,2,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,2,0
TCGA-18-5595-01,7801,16,660,618,21,0,29,24,17,601,17,4,1,1277,1812,214,3,2,1,76,309,1,34,121,34,4,2,26,192,15,0,0,13,16,0,173,1,69,10,11,10,9,14,1439,0,10,2,133,11,16,11,15,70,4,2,8,53,7,1,0,3,9,104,3,1,15,0,8,1,12,54,11,10,22,2,18,8,5,15,11,1,10,0,1076,4,2,0,0,0,4,0,0,6,12,3,88,273,1,169,4,23,1,4,0,8,2,3,0,4,36,0,0,2,0,1,0,0,0,1,0,0,0,0,0,22,8,0,1,321,5,2,17,19,1,0,2,1,0,2,5,0,0,9,6,0,11,2,3,12,0,2,2,0,1,1,0,0,1,27,0,29,0,0,0,2,1,20,7,0,0,0,6,0,0,0,0,0,0,1,0,1,0,0,4,0,0,0,0,3,0,0,1,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,6
TCGA-21-1075-01,5697,8,1226,117,7,139,9,5,5,286,6,10,38,1576,1581,136,38,2,0,3,3951,0,14,57,31,0,1,7,131,74,0,2,0,14,0,121,4,43,2,14,1,0,7,95,471,0,0,108,3,9,6,6,113,0,6,2,106,3,4,6,73,0,146,0,7,28,1,3,24,2,68,1,2,190,0,16,3,10,19,12,3,49,55,492,12,5,0,30,3,0,0,19,3,4,100,47,54,18,13569,9,15,0,2,0,0,0,6,0,9,25,0,301,0,1,0,3,4,4,0,2,0,0,9,4,28,5,0,0,143,0,4,12,7,8,0,2,2,0,17,0,1,0,6,11,23,1,0,0,64,0,0,2,0,2,0,0,2,0,0,0,12,1,1,0,1,0,13,2,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,2,0,0,0,12,0,0,1,44,0,0,0,0,4
TCGA-21-1076-01,1313,22,289,112,23,183,88,23,53,409,56,5,49,712,1059,383,148,1,7,201,672,1,62,253,63,16,1192,29,989,9,1,17,2,28,44,5,4,521,7,8,9,3,103,32,193,22,7,58,26,56,57,9,35,10,69,5,339,8,1,19,35,23,60,80,5,114,11,5,23,6,34,221,4,109,0,57,57,4,58,2,2,27,4,80,20,11,0,0,3,2,4,3,2,9,59,155,10,13,1595,49,30,0,7,0,0,7,6,0,3,80,8,147,2,1,7,2,1,8,0,18,1,0,1,7,15,30,0,2,168,2,2,4,38,3,10,10,1,7,7,0,0,1,3,26,97,168,12,5,40,3,9,18,6,4,2,1,1,2,3,1,6,1,3,2,0,4,28,7,0,7,1,0,2,3,1,2,1,2,0,4,3,1,0,1,0,6,0,3,0,3,1,1,0,4,0,0,0,1,1,0,1,7,0,2,0,0,0,0
TCGA-21-1077-01,2871,8,364,167,17,30,28,25,40,82,20,6,2,905,596,169,76,1,75,45,12149,1,48,123,16,3,499,17,526,15,2,18,6,7,26,73,1,61,2,6,1,7,39,110,202,6,6,24,15,24,7,25,5,16,109,18,167,5,1,18,38,13,5,5,4,62,1,3,49,11,78,19,4,14,8,38,4,3,33,2,11,6,3,257,39,23,0,283,0,1,7,6,21,3,64,39,20,2,5131,15,14,0,1,2,0,1,5,0,2,17,15,5,4,0,3,0,1,16,3,31,3,0,1,12,5,6,0,12,178,0,1,79,27,2,1,0,0,0,11,0,0,1,1,9,280,224,7,3,16,10,7,1,11,2,0,0,5,0,1,3,4,3,4,1,0,4,6,8,5,0,0,0,0,1,1,1,1,3,0,0,2,0,1,3,0,26,0,5,1,0,0,0,5,0,0,0,0,0,1,0,0,3,2,0,0,0,0,11
TCGA-21-1078-01,2944,9,317,429,21,203,6,14,2,50,1,2,18,721,417,21,2,10,0,352,33,0,122,105,22,3,0,2,217,0,0,0,27,30,46,35,1,0,2,11,6,24,3,11,0,3,0,11793,7,0,3,8,0,0,68,0,39,1,0,0,3,0,0,2,0,813,0,0,0,0,27,1,16424,1,0,8,1,3,1,8,6,0,1,126,2,0,0,0,0,1,0,0,34,4,2,9,9,2,11,3,4,0,0,0,62,0,2,0,1,34,1,15,6,0,0,0,1,0,0,80,0,0,0,6,15,9,0,0,62474,0,0,1,1,1,0,0,1,0,0,2,0,0,0,1,0,3,0,0,1,0,0,0,0,1,1,0,0,0,0,0,11,0,0,0,0,0,3,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0
