,CCNB1,ZWINT,PBK,KPNA2,HOXC13,RGCC,CDH5,ATAD2,HOXA10,PRKCE,DLC1,CLIC5,SLC39A8,AGER,ADGRF5,HECW2,TGFBR2,CACNA2D2,SUSD2,PREX2,SLC1A1,LIMCH1,GADD45B,UTRN,TMEM100,CLDN18,TSKU,GPD1L,SELENBP1,CITED2,PTPRM,RECK,C1orf116,RHOBTB2,ADH1B,SLC7A11,LRRK2,CXCL2,LAMP3,FOSB,CYP4B1,MFSD2A,PAX3,CD36,DDAH1,TPPP3,KCNQ5,HOPX,FOLR1,LEFTY2,RND1,NRGN,STEAP4,C16orf89,TBX18,ENPP4,AQP4,DUOX1,AKAP12,SFTPD,LPCAT1,C7,ULBP2,CSF3R,ALPL,NAPSA,CRTAC1,PIGR,MACROD2,ATP13A4,SERTM1,PRDM16,FLRT3,AGR3,SELE,SCGB1A1,C4BPA,SCGB3A1,SCNN1B,ROS1,PROK2,IL33,SLC22A31,DMBT1,GREM2,HOXA9,ELAVL2,SCGB3A2
TCGA-37-5819-01,10734,7576,2898,30994,27,1509,2154,5756,20,207,757,157,1357,88,1149,568,4370,366,1290,102,68,5167,1218,2798,80,1503,9571,1279,6677,1597,2436,478,2085,715,75,3570,127,48,1398,919,47,1312,11,619,2738,1356,162,2323,283,11,2840,1288,483,91,255,954,13,263,645,603,40487,690,56,379,662,267,17,494,120,250,4,1788,390,142,118,171,332,62,558,22,3,557,3307,15,29,65,133,268
TCGA-37-A5EL-01,3249,3437,3317,9328,261,1525,341,4482,1222,1351,265,53,1052,201,312,296,11309,447,223,43,120,1610,1860,2040,1,11,7228,1336,4305,535,1547,320,3338,2215,2,6734,49,237,2445,1023,59,1580,98,2716,141,201,150,363,2,1,29,101,104,6,513,1573,0,3213,2174,73,12468,2,610,277,207,23,3,2618,34,9,3,455,8,432,3,106,3,42,372,361,13,1046,158,25,25,119,19,2
TCGA-37-A5EM-01,6165,2811,1096,10585,593,1107,1334,6515,253,387,1919,174,1528,166,1272,1000,3455,60,310,145,124,752,2146,5233,13,25,4360,347,341,1147,1678,519,1568,757,1,1340,494,133,3344,210,22,759,3,568,715,614,140,1536,30,1,49,134,209,1,645,428,0,2371,1264,56,2780,21,925,478,840,14,146,24,26,228,20,49,30,2,164,14,5,9,25,101,7,41,40,5,28,17,65,295
TCGA-37-A5EN-01,1986,2780,663,5788,228,445,495,1860,222,546,213,72,294,134,289,330,895,209,141,136,27,610,757,1768,40,9,2991,738,439,325,440,386,692,352,135,1441,392,47,1053,350,60,761,87,108,1922,3023,183,494,78,5,53,111,98,43,579,98,20,2962,820,44,1234,310,235,117,897,27,23,4069,54,150,3,82,14,44,53,81,12,2846,36,28,16,159,11,371,41,35,3,55
TCGA-39-5011-01,9876,1931,866,8140,0,1319,1093,4493,2,681,509,453,5553,673,1867,321,11392,112,1022,120,419,5388,1111,4756,123,329,25710,3329,2506,2008,397,247,994,950,116,10604,1028,835,5700,1102,320,508,2,351,7288,287,479,5588,1977,12,688,1264,2422,1911,6,2348,2743,124,246,3583,74588,765,45,1162,743,20918,208,26732,356,920,231,990,481,245,161,15,3016,337,203,3235,1,847,1160,1755,1,2,6,955
TCGA-39-5019-01,6757,4774,1332,28366,952,2331,2127,5403,637,799,2356,410,3769,745,3244,695,6807,902,2165,1576,381,2515,3134,7688,220,539,6702,2264,3159,2090,3221,1005,2323,2155,1462,3903,4935,1110,10700,2727,1218,1730,25,1483,2803,4033,1085,14853,1831,59,1601,1665,2455,2781,1300,2312,3823,4941,2017,8212,10911,9181,1671,1466,8658,11815,2044,12281,1129,908,3,233,1687,2440,795,3330,3691,2488,2157,4072,6,2701,914,12911,93,62,9,21672
TCGA-39-5021-01,3716,2968,1203,11894,256,1923,684,2953,242,255,587,277,1618,264,766,254,2492,90,291,441,301,2816,921,3512,61,108,3880,620,410,1002,496,424,396,496,192,4843,595,127,2197,600,164,1565,1,207,1681,990,82,910,273,1,355,483,186,247,43,1051,603,624,1461,586,4660,961,1119,453,9224,1298,270,2211,183,123,22,42,970,394,83,112,886,958,211,403,3,586,110,1328,12,24,0,1885
TCGA-39-5028-01,2828,1167,442,6381,883,1855,1049,1920,259,639,1316,306,2189,185,1968,259,10604,119,783,155,319,1427,1581,1671,89,47,5098,1561,1584,3229,1093,417,7176,830,444,24537,797,768,2395,6637,4251,3623,0,1900,1384,13090,70,12339,2441,2,144,209,4669,1917,142,1722,502,4149,1109,1167,3999,1688,775,674,1346,1738,347,28612,603,597,2,101,2367,2821,490,8393,1111,43381,1509,2980,27,1750,144,1716,46,10,136,3589
TCGA-39-5029-01,3785,2146,606,8140,557,1329,1294,3963,184,903,685,553,1593,2339,1417,346,5544,372,1486,156,440,2825,1591,2343,133,757,10423,5659,1350,1884,810,223,2916,936,959,1936,708,155,3084,693,2622,1081,2,2073,821,3366,188,2653,596,9,158,368,644,988,298,809,898,2336,1284,2309,7539,4212,2677,662,3569,2420,819,8552,403,432,14,244,841,478,176,12673,1931,2829,1685,322,1,1012,289,3030,35,5,5,670
TCGA-39-5030-01,1669,1274,511,6960,69,1441,1532,2075,116,302,1007,538,2717,558,1538,546,4018,121,1004,138,239,1239,1173,3391,48,197,3480,400,774,2364,2143,357,619,1395,542,350,541,125,2157,443,113,412,38,264,1168,400,629,1670,274,11,342,131,277,233,127,721,593,311,1294,1133,3909,3236,294,635,522,1228,172,585,102,180,0,47,258,89,4842,16,717,96,267,214,4,541,177,732,82,49,48,447
