,hsa-mir-210,hsa-mir-205,hsa-mir-183,hsa-mir-96,hsa-mir-31,hsa-mir-486-1,hsa-mir-486-2,hsa-mir-144,hsa-mir-301b,hsa-mir-182,hsa-mir-338,hsa-mir-503,hsa-mir-137,hsa-mir-206,hsa-mir-383,hsa-mir-372,hsa-mir-507,hsa-mir-122,hsa-mir-373
TCGA-18-3406-01,7903,16366,3029,11,138,36,48,379,2,7317,189,15,4,0,0,0,0,0,2
TCGA-18-3407-01,13099,55809,32106,117,67,30,30,112,3,50972,822,46,1,1,0,0,0,0,1
TCGA-18-3408-01,5242,22002,17351,69,142,20,15,123,8,21550,291,21,0,0,1,0,0,1,0
TCGA-18-3410-01,2262,20196,44438,212,26,7,4,27,7,91264,178,38,0,0,1,0,0,14,0
TCGA-18-3411-01,1781,16776,28316,97,148,3,3,65,8,35861,445,35,1,0,0,0,0,0,0
TCGA-18-3412-01,4488,8631,23986,66,98,10,21,131,8,37466,128,38,0,0,1,0,0,0,0
TCGA-18-3414-01,2472,19023,6256,27,254,10,13,61,2,13498,219,15,3,0,1,0,0,0,0
TCGA-18-3415-01,7323,21388,19627,39,2,2,2,42,9,18810,168,65,1,0,0,0,0,0,0
TCGA-18-3416-01,6514,37273,15813,100,115,53,47,182,17,25717,372,58,0,0,0,1,1,0,0
TCGA-18-3417-01,2636,15452,36794,52,38,51,48,143,3,55068,297,7,0,0,0,0,0,0,0
TCGA-18-3419-01,2872,9661,14997,34,15,5,7,26,30,14037,85,26,0,0,0,0,0,0,0
TCGA-18-3421-01,6184,16927,33185,52,1110,24,25,150,29,26912,458,103,3,0,2,0,0,0,0
TCGA-18-4086-01,5639,19029,25672,35,5,20,30,123,11,32816,268,10,0,0,0,0,1,1,0
TCGA-18-4721-01,3154,13525,27778,21,28,55,61,183,18,28181,316,8,1,1,1,0,13,4,0
TCGA-18-5592-01,7300,48789,36435,83,0,45,43,77,5,44612,127,9,0,0,0,0,0,0,0
TCGA-18-5595-01,19487,24593,21052,44,154,53,68,182,6,27741,516,13,0,0,0,0,0,0,0
TCGA-21-1075-01,18371,29095,107114,109,110,24,26,135,27,89167,431,8,0,0,32,0,0,2,0
TCGA-21-1076-01,2269,7300,25809,65,9,34,47,158,3,51130,1088,16,1,0,0,12,0,2,2
TCGA-21-1077-01,3577,15135,34969,77,14,46,32,178,6,59332,725,26,0,3,77,0,0,0,1
TCGA-21-1078-01,6859,33027,26036,101,1,25,15,64,5,60812,192,17,0,0,0,0,0,0,0
TCGA-21-1079-01,5949,53544,22016,75,1218,130,128,341,8,61411,322,52,9,0,0,0,0,0,0
TCGA-21-1080-01,3052,34007,24655,47,47,52,36,229,4,35185,531,6,0,3,0,0,0,0,0
TCGA-21-1083-01,4827,27505,16316,48,7,36,37,107,10,27157,257,8,1,1,0,0,0,0,0
TCGA-21-5782-01,28487,89055,86623,138,26,77,85,103,43,95124,1253,93,1,0,0,0,0,0,0
TCGA-21-5784-01,9395,75286,21443,64,21,225,264,348,4,41121,3680,29,0,0,1,0,1,0,1
TCGA-21-5786-01,10502,73137,20203,30,122,29,50,18,19,25867,514,67,5,0,0,5,0,0,4
TCGA-21-5787-01,2774,401,21785,56,465,34,26,53,4,31704,7126,10,0,0,0,1,0,0,0
TCGA-21-A5DI-01,6837,109190,67383,209,666,310,301,348,9,143144,1329,48,4,0,0,0,0,0,0
TCGA-22-0940-01,3498,21440,7301,22,137,11,11,69,1,18341,856,4,0,1,0,0,0,0,0
TCGA-22-1011-01,4339,13546,9108,13,51,16,24,67,4,18518,424,15,0,1,0,11,0,0,1
TCGA-22-1012-01,4339,16605,24166,39,18,2,11,21,3,24617,382,11,1,0,0,0,0,0,0
TCGA-22-4591-01,19860,32601,78474,111,121,16,17,79,49,50641,620,55,8,0,0,0,0,0,0
TCGA-22-4594-01,3012,121,30669,114,13,15,14,37,9,68463,485,27,3,0,0,0,0,0,0
TCGA-22-4595-01,5245,12886,13643,7,91,13,10,28,15,12945,657,11,0,0,0,0,0,0,0
TCGA-22-4596-01,2796,852,52091,92,54,23,25,103,4,98969,1028,15,11,0,0,1,0,0,0
TCGA-22-4601-01,3816,16247,31228,45,8,9,16,33,13,48864,452,4,0,0,0,0,1,0,0
TCGA-22-4604-01,6406,25444,20871,43,7,5,10,15,10,28883,207,18,3,0,9,0,0,0,0
TCGA-22-4607-01,3876,34221,62050,127,132,8,17,37,10,82723,585,25,2,0,0,0,0,0,0
TCGA-22-4613-01,4856,7064,43791,34,6,32,22,90,28,44646,200,6,0,0,0,0,0,0,0
TCGA-22-5471-01,3933,31111,19912,57,7,41,46,45,5,32922,555,19,2,0,0,1,2,0,0
TCGA-22-5472-01,8435,33036,16978,92,190,58,77,73,2,44428,1715,16,0,0,0,0,1,0,0
TCGA-22-5473-01,7740,36775,54039,113,21,7,20,12,13,86704,487,20,2,0,0,1,5,1,0
TCGA-22-5474-01,5666,19442,53329,90,47,39,55,67,11,87664,206,37,0,0,0,0,0,0,1
TCGA-22-5477-01,13533,58718,202713,388,77,92,110,248,72,254991,827,39,0,0,134,0,3,2,0
TCGA-22-5478-01,7294,34266,78442,157,24,50,34,85,40,75968,810,21,43,0,0,0,0,0,0
TCGA-22-5480-01,3663,24161,18586,71,13,37,35,47,5,42205,454,15,0,4,85,1,1,1,0
TCGA-22-5482-01,16019,59273,29455,58,151,225,242,292,10,35873,300,10,1,0,0,0,15,0,0
TCGA-22-5483-01,2777,7572,327778,356,86,644,611,1571,5,401431,682,27,9,0,1,2,0,3,0
TCGA-22-5485-01,10437,46692,64701,76,57,12,12,18,18,53460,619,24,0,0,0,0,1,0,0
TCGA-22-5489-01,11996,48474,40993,108,13,88,80,140,5,103045,1026,65,1,1,7,0,0,1,0
TCGA-22-5491-01,9226,40833,59978,125,30,27,34,39,12,98739,388,23,0,0,1,0,0,0,0
TCGA-22-5492-01,16650,43629,76603,207,149,49,43,76,9,146955,1226,74,5,0,0,0,1,0,0
TCGA-22-A5C4-01,3794,32119,91627,183,355,85,106,229,41,262520,2965,70,14,0,0,0,0,0,0
TCGA-33-4532-01,9634,22857,63622,74,31,8,9,81,42,56520,631,23,1,0,0,0,0,0,0
TCGA-33-4533-01,7785,5036,13740,26,270,52,69,163,31,23587,2596,53,30,19,76,0,0,3,0
TCGA-33-4538-01,2409,8523,11995,29,23,211,207,440,7,16725,332,12,0,0,1,0,0,0,0
TCGA-33-4547-01,4297,21725,31269,48,20,59,51,237,9,55462,723,16,1,0,0,0,0,0,0
TCGA-33-4566-01,753,7348,8099,27,2,21,15,69,4,14288,483,13,4,0,0,0,0,0,0
TCGA-33-4582-01,3569,18320,23191,40,5,104,107,374,12,26804,286,7,2,1,0,0,0,0,0
TCGA-33-4583-01,6552,22773,8839,28,282,16,11,30,4,19900,403,5,0,0,0,0,8,0,0
TCGA-33-4586-01,4344,44341,24421,46,3,9,9,13,1,38863,256,2,0,0,0,1,0,0,0
TCGA-33-4587-01,28622,2103,327223,557,152,171,160,84,27,428870,420,17,1,0,1,4,0,0,0
TCGA-33-4589-01,3336,14987,6955,8,1084,265,313,223,2,13378,237,13,0,0,0,0,0,0,0
TCGA-33-6737-01,1466,4152,120107,92,299,97,102,187,4,132025,9404,9,0,0,0,0,0,1,0
TCGA-33-6738-01,9972,140204,143946,228,11,922,913,861,22,225993,5820,17,0,0,0,0,0,0,0
TCGA-33-A4WN-01,6058,59770,24397,85,20,284,215,347,5,45436,773,11,1,0,1,1,0,0,0
TCGA-33-A5GW-01,9797,94810,43620,178,199,95,92,141,6,166857,1714,10,9,1,2,1,1,0,0
TCGA-33-AAS8-01,19407,84549,101975,400,1,1320,1278,2422,32,135461,1628,26,0,0,0,1,60,0,1
TCGA-33-AASB-01,12020,6472,132208,435,251,80,77,95,11,168914,2050,39,1,0,5,2,0,1,1
TCGA-33-AASD-01,24020,106615,68773,189,1011,442,425,707,21,91370,954,29,2,1,0,0,0,0,0
